age_bracket,fraction_male,fraction_female
0_4,0.5170388528353218,0.4829611471646782
5_9,0.4953905145219188,0.5046094854780812
10_14,0.5327837083264904,0.4672162916735096
15_19,0.5072012295953725,0.4927987704046274
20_24,0.5159932069222024,0.4840067930777976
25_29,0.5057032831708793,0.4942967168291207
30_34,0.5017987198720910,0.4982012801279090
35_39,0.4927761130136986,0.5072238869863014
40_44,0.5032969262502959,0.4967030737497041
45_49,0.5036470895934440,0.4963529104065560
50_54,0.5023713640710693,0.4976286359289306
55_59,0.4849465373221619,0.5150534626778381
60_64,0.4873488303761628,0.5126511696238372
65_69,0.4802395845985667,0.5197604154014333
70_74,0.4552819351689326,0.5447180648310674
75_100,0.4150676860390002,0.5849323139609998
