age_bracket,fraction_male,fraction_female
0_4,0.5146979817696674,0.4853020182303325
5_9,0.5134372743107184,0.4865627256892816
10_14,0.5146828619516731,0.4853171380483269
15_19,0.5078453348276828,0.4921546651723172
20_24,0.5130041405844912,0.4869958594155088
25_29,0.5101722706937387,0.4898277293062613
30_34,0.5117055846755938,0.4882944153244062
35_39,0.4959415024488951,0.5040584975511049
40_44,0.5066120551119986,0.4933879448880014
45_49,0.5044481883256974,0.4955518116743027
50_54,0.5039470456473919,0.4960529543526081
55_59,0.4921860268226511,0.5078139731773489
60_64,0.4710421077393555,0.5289578922606446
65_69,0.4728538719693881,0.5271461280306119
70_74,0.4655199227125993,0.5344800772874008
75_100,0.4341770001698658,0.5658229998301342
