Age,Percent
0,0.000
1,0.000
2,0.000
3,0.463
4,0.463
5,0.963
6,0.963
7,0.963
8,0.963
9,0.963
10,0.980
11,0.980
12,0.980
13,0.980
14,0.980
15,0.975
16,0.975
17,0.975
18,0.748
19,0.748
20,0.361
21,0.361
22,0.361
23,0.361
24,0.361
25,0.125
26,0.125
27,0.125
28,0.125
29,0.125
30,0.125
31,0.125
32,0.125
33,0.125
34,0.125
35,0.024
36,0.024
37,0.024
38,0.024
39,0.024
40,0.024
41,0.024
42,0.024
43,0.024
44,0.024
45,0.024
46,0.024
47,0.024
48,0.024
49,0.024
50,0.024
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
