,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US36001000100,"Census Tract 1, Albany, NY",837.0,291.0,297.0,117.0,68.0,51.0,13.0,0.0
14000US36001000200,"Census Tract 2, Albany, NY",2133.0,904.0,780.0,208.0,118.0,105.0,0.0,18.0
14000US36001000300,"Census Tract 3, Albany, NY",2480.0,1013.0,789.0,464.0,88.0,43.0,66.0,17.0
14000US36001000401,"Census Tract 4.01, Albany, NY",1029.0,468.0,373.0,126.0,62.0,0.0,0.0,0.0
14000US36001000403,"Census Tract 4.03, Albany, NY",2172.0,936.0,781.0,309.0,113.0,12.0,21.0,0.0
14000US36001000404,"Census Tract 4.04, Albany, NY",5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US36001000501,"Census Tract 5.01, Albany, NY",1403.0,760.0,202.0,144.0,206.0,54.0,37.0,0.0
14000US36001000502,"Census Tract 5.02, Albany, NY",862.0,396.0,281.0,113.0,69.0,3.0,0.0,0.0
14000US36001000600,"Census Tract 6, Albany, NY",1413.0,594.0,273.0,232.0,116.0,129.0,69.0,0.0
14000US36001000700,"Census Tract 7, Albany, NY",1448.0,427.0,462.0,293.0,138.0,50.0,60.0,18.0
14000US36001000800,"Census Tract 8, Albany, NY",828.0,414.0,118.0,139.0,74.0,17.0,45.0,21.0
14000US36001001100,"Census Tract 11, Albany, NY",845.0,596.0,187.0,38.0,12.0,0.0,0.0,12.0
14000US36001001400,"Census Tract 14, Albany, NY",2811.0,1962.0,697.0,85.0,52.0,0.0,0.0,15.0
14000US36001001500,"Census Tract 15, Albany, NY",2192.0,1001.0,515.0,457.0,185.0,34.0,0.0,0.0
14000US36001001600,"Census Tract 16, Albany, NY",1900.0,813.0,621.0,239.0,171.0,41.0,15.0,0.0
14000US36001001700,"Census Tract 17, Albany, NY",1987.0,766.0,761.0,250.0,104.0,57.0,35.0,14.0
14000US36001001801,"Census Tract 18.01, Albany, NY",3391.0,1494.0,1134.0,414.0,188.0,78.0,64.0,19.0
