,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US3603103,"Westchester County (Northeast) PUMA, NY",134317.0,7802.0,8753.0,8755.0,9936.0,7230.0,4853.0,6147.0,7001.0,7089.0,11310.0,11095.0,10690.0,9924.0,7417.0,6975.0,3800.0,2601.0,2939.0
79500US3603104,"Westchester County (Southeast) PUMA, NY",119252.0,6457.0,8830.0,10592.0,10048.0,8740.0,3540.0,6522.0,7384.0,10250.0,9421.0,7298.0,6705.0,6431.0,4596.0,3336.0,3364.0,2272.0,3466.0
79500US3603105,"Westchester County (Central)--White Plains City PUMA, NY",166030.0,10113.0,8659.0,9648.0,9149.0,9798.0,9424.0,9455.0,9837.0,11721.0,11139.0,13066.0,11436.0,10455.0,8738.0,9342.0,5458.0,3856.0,4736.0
79500US3603106,"Westchester County (Southwest)--Yonkers City PUMA, NY",199646.0,10056.0,9984.0,11179.0,11441.0,12916.0,14936.0,15609.0,13623.0,9590.0,13309.0,14878.0,15785.0,12171.0,9448.0,8616.0,7169.0,4319.0,4617.0
79500US3603107,"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, NY",195491.0,10381.0,13082.0,13815.0,13387.0,12253.0,13528.0,9207.0,13427.0,13989.0,12171.0,13252.0,14187.0,12254.0,8041.0,6037.0,5955.0,3920.0,6605.0
79500US3603201,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, NY",110306.0,6655.0,9027.0,7292.0,6216.0,4240.0,4573.0,5628.0,6629.0,7233.0,7724.0,7715.0,8201.0,6883.0,5229.0,6598.0,3779.0,2666.0,4018.0
79500US3603202,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, NY",110117.0,3006.0,6998.0,5553.0,7902.0,8773.0,5561.0,4879.0,4354.0,4695.0,7275.0,8824.0,8773.0,9402.0,6177.0,5863.0,4230.0,3027.0,4825.0
79500US3603204,"Nassau County (West Central)--North Hempstead Town (South) PUMA, NY",120814.0,6499.0,6612.0,8184.0,7800.0,8012.0,6041.0,7355.0,8653.0,8325.0,8659.0,8567.0,8702.0,8855.0,6178.0,4384.0,3034.0,2430.0,2524.0
79500US3603205,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, NY",123607.0,6701.0,5339.0,7879.0,10351.0,8007.0,8531.0,7073.0,6821.0,6316.0,9623.0,11812.0,7505.0,8252.0,6733.0,4760.0,3394.0,2225.0,2285.0
79500US3603208,"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, NY",110646.0,4734.0,7148.0,6609.0,7798.0,6320.0,6501.0,6310.0,5660.0,6379.0,8384.0,7785.0,8078.0,8751.0,6577.0,5018.0,3865.0,1851.0,2878.0
79500US3603211,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, NY",112283.0,5664.0,3935.0,8402.0,7175.0,6691.0,8869.0,5163.0,4724.0,7451.0,7877.0,7759.0,8770.0,9341.0,5966.0,5662.0,3269.0,1650.0,3915.0
79500US3603212,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, NY",102091.0,6570.0,6161.0,7289.0,5763.0,5060.0,7658.0,7169.0,7191.0,5385.0,5512.0,6043.0,8068.0,5625.0,4485.0,5357.0,4287.0,1850.0,2618.0
79500US3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA, NY",119846.0,9197.0,7040.0,7302.0,5720.0,7063.0,10285.0,7624.0,8001.0,7188.0,7436.0,7327.0,6953.0,6501.0,5852.0,5715.0,3189.0,3357.0,4096.0
79500US3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA, NY",135799.0,9889.0,7301.0,9093.0,7959.0,9492.0,11644.0,10296.0,7004.0,7785.0,9702.0,8609.0,8931.0,9500.0,6788.0,3837.0,3319.0,2978.0,1672.0
79500US3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA, NY",119071.0,6892.0,6702.0,5820.0,6549.0,5751.0,9847.0,7628.0,8257.0,8259.0,5791.0,7610.0,6736.0,8601.0,6146.0,5086.0,4382.0,5398.0,3616.0
79500US3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA, NY",124931.0,7633.0,7012.0,7702.0,7380.0,7019.0,9078.0,11014.0,8649.0,9704.0,6450.0,8702.0,8011.0,7476.0,5881.0,4610.0,3358.0,2331.0,2921.0
79500US3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA, NY",175456.0,13771.0,11227.0,14292.0,15371.0,15597.0,16771.0,11566.0,10049.0,9848.0,10378.0,9354.0,10764.0,8454.0,6694.0,4191.0,3377.0,2134.0,1618.0
79500US3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA, NY",133784.0,8681.0,7662.0,11401.0,8687.0,10552.0,12189.0,11575.0,8385.0,9300.0,9001.0,8500.0,8705.0,5438.0,3598.0,4321.0,2111.0,2511.0,1167.0
79500US3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA, NY",139732.0,12482.0,11272.0,10950.0,11122.0,12468.0,10360.0,9911.0,10222.0,8423.0,8032.0,10749.0,6466.0,5768.0,3577.0,3176.0,2825.0,1298.0,631.0
