,name,Total,Male:_0_4,Male:_5_9,Male:_10_14,Male:_15_19,Male:_20_24,Male:_25_29,Male:_30_34,Male:_35_39,Male:_40_44,Male:_45_49,Male:_50_54,Male:_55_59,Male:_60_64,Male:_65_69,Male:_70_74,Male:_75_79,Male:_80_84,Male:_85up,Female:_0_4,Female:_5_9,Female:_10_14,Female:_15_19,Female:_20_24,Female:_25_29,Female:_30_34,Female:_35_39,Female:_40_44,Female:_45_49,Female:_50_54,Female:_55_59,Female:_60_64,Female:_65_69,Female:_70_74,Female:_75_79,Female:_80_84,Female:_85up
79500US0900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",169172.0,4458.0,4612.0,5701.0,5805.0,4944.0,5552.0,4400.0,5673.0,5557.0,6127.0,5756.0,6835.0,5994.0,2872.0,3502.0,2255.0,1411.0,1777.0,4711.0,5455.0,6050.0,5161.0,5891.0,3215.0,4701.0,4439.0,5378.0,6508.0,5189.0,7683.0,6078.0,4158.0,3675.0,2821.0,2110.0,2718.0
79500US0900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",119239.0,3236.0,3619.0,5605.0,5644.0,3869.0,1591.0,1238.0,3032.0,3037.0,4747.0,5370.0,3926.0,4292.0,2686.0,2107.0,1549.0,751.0,888.0,2846.0,3395.0,4610.0,6334.0,4194.0,1464.0,2023.0,3409.0,3023.0,5078.0,4836.0,5653.0,4145.0,2939.0,2611.0,1794.0,1539.0,2159.0
79500US0900102,"Stamford & Greenwich Towns PUMA, CT",192496.0,6569.0,5435.0,7001.0,4976.0,5726.0,5900.0,7127.0,6002.0,6013.0,5715.0,6890.0,5510.0,6182.0,4416.0,3887.0,2507.0,1622.0,1426.0,4195.0,5363.0,5937.0,5303.0,6651.0,7257.0,6868.0,6950.0,6885.0,6583.0,6355.0,7883.0,5589.0,4697.0,4319.0,2703.0,2633.0,3421.0
79500US0900103,"Norwalk, Westport & Darien Towns PUMA, CT",139210.0,3701.0,4408.0,4581.0,4178.0,3216.0,3851.0,4765.0,4269.0,5357.0,4723.0,5116.0,5391.0,5870.0,3181.0,2818.0,1239.0,1097.0,667.0,4060.0,4418.0,4492.0,3935.0,2172.0,3384.0,4293.0,4769.0,4306.0,4993.0,5987.0,5189.0,5170.0,3865.0,3768.0,2206.0,1816.0,1959.0
79500US3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",146164.0,3419.0,3987.0,3093.0,2515.0,4323.0,6743.0,5258.0,4781.0,5997.0,4515.0,4239.0,5354.0,4058.0,3668.0,2162.0,2942.0,1350.0,1266.0,4242.0,2943.0,3189.0,4028.0,4655.0,4475.0,5511.0,5688.0,5075.0,5431.0,5606.0,5622.0,4154.0,3538.0,4217.0,3124.0,2341.0,2655.0
79500US3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",106825.0,2752.0,4554.0,3847.0,4034.0,2180.0,2276.0,2024.0,2177.0,3794.0,2814.0,4243.0,4891.0,3327.0,3170.0,2331.0,1526.0,637.0,1485.0,2419.0,3715.0,4491.0,2877.0,2626.0,2428.0,2478.0,2634.0,3917.0,3288.0,4848.0,4763.0,3890.0,2227.0,2780.0,1774.0,1473.0,2135.0
79500US3400601,"Hudson County (Central)--Jersey City (North) PUMA, NJ",140425.0,5564.0,3630.0,2803.0,2755.0,4155.0,10174.0,9816.0,9034.0,5948.0,3626.0,3189.0,3129.0,3064.0,2103.0,1285.0,1265.0,593.0,516.0,4616.0,2942.0,3645.0,1623.0,4489.0,9588.0,9417.0,7344.0,4167.0,3729.0,3101.0,3521.0,2474.0,2303.0,1953.0,1029.0,512.0,1323.0
79500US3400602,"Hudson County (Central)--Jersey City (South) PUMA, NJ",117016.0,4805.0,3507.0,4832.0,3507.0,4414.0,4494.0,5614.0,4137.0,2967.0,3161.0,3850.0,2509.0,3248.0,2343.0,1813.0,1416.0,235.0,506.0,5165.0,3505.0,3568.0,4322.0,3926.0,4736.0,4584.0,3538.0,4539.0,3520.0,4264.0,2735.0,3664.0,2927.0,1636.0,1479.0,1004.0,546.0
79500US3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA, NJ",145378.0,3339.0,3271.0,3137.0,3194.0,4106.0,7336.0,5480.0,5981.0,5143.0,6743.0,4824.0,3334.0,5316.0,3732.0,1701.0,1588.0,1087.0,1072.0,2756.0,3040.0,3498.0,3738.0,3409.0,6073.0,6765.0,3857.0,5823.0,5231.0,6649.0,5575.0,5044.0,3934.0,3354.0,2236.0,1800.0,2212.0
79500US3400702,"Hudson County (Northeast)--Union City & Hoboken Cities PUMA, NJ",139139.0,5068.0,3329.0,3218.0,3239.0,4591.0,9610.0,9271.0,6144.0,5841.0,3357.0,3824.0,3621.0,2463.0,1502.0,1166.0,1134.0,794.0,367.0,6126.0,4007.0,3185.0,3158.0,4231.0,9816.0,8322.0,7832.0,3964.0,3477.0,2959.0,3288.0,2834.0,1578.0,1767.0,1380.0,1472.0,1204.0
