age_bracket,percent
0_4,0.0
5_9,0.0
10_14,0.0
15_19,0.0
20_24,0.0
25_29,0.0
30_34,0.0
35_39,0.0
40_44,0.0
45_49,0.0
50_54,0.0
55_59,0.0
60_64,0.0
65_69,0.0
70_74,0.0
75_79,0.0
80_84,0.0
85_100,0.0
