,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",132268.0,5359.0,6646.0,6418.0,6832.0,8995.0,10394.0,8812.0,6534.0,7237.0,7477.0,7575.0,11308.0,9694.0,9498.0,7879.0,5544.0,3803.0,2263.0
79500US1600300,"Central Idaho--Lewiston City & Nez Perce Reservation PUMA, ID",108040.0,4506.0,6047.0,6869.0,6293.0,4893.0,5666.0,5798.0,5975.0,5801.0,5347.0,6100.0,9395.0,7779.0,8977.0,7575.0,5125.0,2655.0,3239.0
79500US1600400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA, ID",126298.0,8489.0,8035.0,7957.0,10418.0,5691.0,7092.0,5664.0,6738.0,7255.0,8270.0,7881.0,8235.0,9956.0,8866.0,6399.0,4805.0,2660.0,1887.0
79500US1600500,"Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA, ID",128388.0,9761.0,9311.0,10060.0,10040.0,7485.0,9948.0,8969.0,7684.0,7231.0,9025.0,6059.0,7605.0,6402.0,6181.0,4946.0,2737.0,1971.0,2973.0
79500US3200103,"Washoe County (North)--Sparks City PUMA, NV",151623.0,10930.0,10460.0,10682.0,9032.0,7427.0,9984.0,10854.0,10101.0,9987.0,9738.0,10647.0,8217.0,9369.0,8368.0,7858.0,3634.0,1994.0,2341.0
79500US3200300,"Rural Nevada PUMA, NV",171791.0,10007.0,11553.0,10606.0,10703.0,8214.0,9558.0,11838.0,11148.0,9337.0,9524.0,10893.0,12682.0,13150.0,10861.0,9194.0,6219.0,3983.0,2321.0
79500US4100100,"Umatilla, Union, Baker & Wallowa Counties PUMA, OR",127331.0,8172.0,8492.0,8907.0,7921.0,7695.0,8457.0,7498.0,7988.0,7671.0,6461.0,7321.0,8337.0,8869.0,7747.0,6141.0,4840.0,2337.0,2477.0
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",121443.0,7984.0,7594.0,7597.0,7859.0,7250.0,6504.0,7195.0,6383.0,6776.0,7532.0,7463.0,8126.0,8781.0,7870.0,6841.0,4278.0,2930.0,2480.0
79500US4100300,"Klamath, Malheur, Lake & Harney Counties PUMA, OR",113554.0,6760.0,7281.0,7062.0,7452.0,6356.0,7295.0,7023.0,5804.0,7071.0,6348.0,6541.0,6420.0,8284.0,7887.0,6428.0,3466.0,3170.0,2906.0
79500US4100400,"Deschutes County PUMA, OR",191996.0,9591.0,10442.0,12003.0,10292.0,8768.0,11348.0,12341.0,12042.0,13959.0,13531.0,12341.0,11658.0,14932.0,14102.0,10154.0,6011.0,3727.0,4754.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",168316.0,7388.0,8851.0,9604.0,9775.0,8434.0,9188.0,8901.0,10306.0,7513.0,10039.0,10435.0,13321.0,14572.0,15314.0,9529.0,7889.0,3249.0,4008.0
79500US4100600,"Linn & Benton Counties PUMA, OR",219436.0,11264.0,11209.0,12446.0,16489.0,23159.0,15729.0,14070.0,14371.0,10176.0,12781.0,11092.0,14765.0,12456.0,13639.0,10066.0,6513.0,4730.0,4481.0
79500US4100703,"Lane County (West Central)--Eugene City (West & South) PUMA, OR",153155.0,7470.0,6459.0,7939.0,12439.0,18674.0,11473.0,9507.0,12399.0,8344.0,9089.0,8226.0,8994.0,9810.0,9225.0,5295.0,4098.0,1813.0,1901.0
79500US4100704,"Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA, OR",113528.0,6776.0,6611.0,6556.0,5928.0,10194.0,9184.0,6525.0,8836.0,6769.0,6183.0,6334.0,6677.0,6464.0,6558.0,5118.0,3508.0,2733.0,2574.0
79500US4100705,"Lane County (Outside Eugene & Springfield Cities) PUMA, OR",112928.0,4066.0,5394.0,7043.0,5604.0,6358.0,5871.0,5839.0,5291.0,5969.0,6170.0,6554.0,7829.0,10063.0,10668.0,8167.0,5058.0,3881.0,3103.0
79500US4100800,"Josephine, Coos & Curry Counties PUMA, OR",174425.0,7519.0,7675.0,9741.0,9678.0,5968.0,10368.0,8566.0,7920.0,9856.0,9699.0,10443.0,12915.0,15230.0,14344.0,13665.0,9847.0,6623.0,4368.0
