,name,Total,Male:_0_4,Male:_5_9,Male:_10_14,Male:_15_19,Male:_20_24,Male:_25_29,Male:_30_34,Male:_35_39,Male:_40_44,Male:_45_49,Male:_50_54,Male:_55_59,Male:_60_64,Male:_65_69,Male:_70_74,Male:_75_79,Male:_80_84,Male:_85up,Female:_0_4,Female:_5_9,Female:_10_14,Female:_15_19,Female:_20_24,Female:_25_29,Female:_30_34,Female:_35_39,Female:_40_44,Female:_45_49,Female:_50_54,Female:_55_59,Female:_60_64,Female:_65_69,Female:_70_74,Female:_75_79,Female:_80_84,Female:_85up
79500US0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",132268.0,2814.0,3848.0,3620.0,3666.0,5919.0,7153.0,5273.0,4387.0,4250.0,4285.0,3669.0,6061.0,4679.0,4412.0,4126.0,2769.0,1634.0,1097.0,2545.0,2798.0,2798.0,3166.0,3076.0,3241.0,3539.0,2147.0,2987.0,3192.0,3906.0,5247.0,5015.0,5086.0,3753.0,2775.0,2169.0,1166.0
79500US1600300,"Central Idaho--Lewiston City & Nez Perce Reservation PUMA, ID",108040.0,2344.0,3365.0,3963.0,2960.0,2952.0,2879.0,2774.0,3056.0,2714.0,2877.0,2898.0,4414.0,3860.0,4875.0,3725.0,3074.0,1376.0,884.0,2162.0,2682.0,2906.0,3333.0,1941.0,2787.0,3024.0,2919.0,3087.0,2470.0,3202.0,4981.0,3919.0,4102.0,3850.0,2051.0,1279.0,2355.0
79500US1600400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA, ID",126298.0,4450.0,4200.0,4188.0,5436.0,2420.0,3281.0,2809.0,3597.0,3355.0,3858.0,4005.0,4079.0,5122.0,4275.0,2820.0,2188.0,1413.0,1003.0,4039.0,3835.0,3769.0,4982.0,3271.0,3811.0,2855.0,3141.0,3900.0,4412.0,3876.0,4156.0,4834.0,4591.0,3579.0,2617.0,1247.0,884.0
79500US1600500,"Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA, ID",128388.0,5236.0,4384.0,4900.0,5409.0,3601.0,5437.0,4692.0,4356.0,3478.0,4319.0,3726.0,3841.0,2886.0,2537.0,2205.0,1501.0,808.0,861.0,4525.0,4927.0,5160.0,4631.0,3884.0,4511.0,4277.0,3328.0,3753.0,4706.0,2333.0,3764.0,3516.0,3644.0,2741.0,1236.0,1163.0,2112.0
79500US3200103,"Washoe County (North)--Sparks City PUMA, NV",151623.0,6045.0,5691.0,5970.0,4088.0,3779.0,5150.0,5337.0,5051.0,4861.0,5356.0,5509.0,4101.0,4568.0,3908.0,3689.0,1594.0,1048.0,1103.0,4885.0,4769.0,4712.0,4944.0,3648.0,4834.0,5517.0,5050.0,5126.0,4382.0,5138.0,4116.0,4801.0,4460.0,4169.0,2040.0,946.0,1238.0
79500US3200300,"Rural Nevada PUMA, NV",171791.0,4998.0,6045.0,5397.0,6282.0,3424.0,6075.0,6660.0,6888.0,4686.0,4998.0,5929.0,6362.0,6694.0,5242.0,4667.0,3250.0,2523.0,782.0,5009.0,5508.0,5209.0,4421.0,4790.0,3483.0,5178.0,4260.0,4651.0,4526.0,4964.0,6320.0,6456.0,5619.0,4527.0,2969.0,1460.0,1539.0
79500US4100100,"Umatilla, Union, Baker & Wallowa Counties PUMA, OR",127331.0,3741.0,4382.0,4981.0,4341.0,4271.0,4761.0,4116.0,4312.0,3712.0,3205.0,3995.0,4125.0,4243.0,3851.0,3236.0,2061.0,1189.0,1053.0,4431.0,4110.0,3926.0,3580.0,3424.0,3696.0,3382.0,3676.0,3959.0,3256.0,3326.0,4212.0,4626.0,3896.0,2905.0,2779.0,1148.0,1424.0
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",121443.0,3954.0,3787.0,3498.0,4041.0,4146.0,3324.0,3594.0,3122.0,3193.0,3902.0,3576.0,3567.0,4718.0,3768.0,3218.0,1962.0,1806.0,950.0,4030.0,3807.0,4099.0,3818.0,3104.0,3180.0,3601.0,3261.0,3583.0,3630.0,3887.0,4559.0,4063.0,4102.0,3623.0,2316.0,1124.0,1530.0
79500US4100300,"Klamath, Malheur, Lake & Harney Counties PUMA, OR",113554.0,3185.0,4054.0,3419.0,4070.0,3171.0,3824.0,4125.0,2658.0,3827.0,3841.0,3406.0,3205.0,4137.0,3816.0,3650.0,1752.0,1530.0,958.0,3575.0,3227.0,3643.0,3382.0,3185.0,3471.0,2898.0,3146.0,3244.0,2507.0,3135.0,3215.0,4147.0,4071.0,2778.0,1714.0,1640.0,1948.0
79500US4100400,"Deschutes County PUMA, OR",191996.0,4675.0,5266.0,6673.0,5206.0,4297.0,5981.0,6119.0,6501.0,6040.0,7156.0,6458.0,5647.0,6787.0,7041.0,4765.0,3118.0,2181.0,1681.0,4916.0,5176.0,5330.0,5086.0,4471.0,5367.0,6222.0,5541.0,7919.0,6375.0,5883.0,6011.0,8145.0,7061.0,5389.0,2893.0,1546.0,3073.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",168316.0,3871.0,4868.0,4700.0,4583.0,3509.0,5128.0,4408.0,4952.0,4042.0,5042.0,4850.0,5968.0,7178.0,7309.0,4654.0,4289.0,1353.0,1054.0,3517.0,3983.0,4904.0,5192.0,4925.0,4060.0,4493.0,5354.0,3471.0,4997.0,5585.0,7353.0,7394.0,8005.0,4875.0,3600.0,1896.0,2954.0
