age_bracket,percent
0_4,0.0569375666600511
5_9,0.0593336979970924
10_14,0.0614059078756077
15_19,0.0587895260823333
20_24,0.0574821419639241
25_29,0.0773071033595859
30_34,0.0777076687497680
35_39,0.0753853576205851
40_44,0.0715765576063858
45_49,0.0694051140058314
50_54,0.0620045373207540
55_59,0.0634555279637402
60_64,0.0604071164293932
65_69,0.0531376412063593
70_74,0.0388387072831098
75_79,0.0251146028472817
80_84,0.0156502874550826
85_89,0.0107072917154095
90_94,0.0044613715480873
95_100,0.0008922743096175
