,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US5311601,"Seattle City (Northwest) PUMA, WA",165567.0,9623.0,6548.0,6451.0,4852.0,11370.0,21873.0,20005.0,17009.0,10942.0,10592.0,9493.0,8002.0,7430.0,8955.0,5613.0,3499.0,683.0,2627.0
79500US5311602,"Seattle City (Northeast) PUMA, WA",146773.0,7349.0,6482.0,5507.0,13476.0,23148.0,14269.0,12374.0,9719.0,7917.0,8347.0,6991.0,6628.0,7677.0,5644.0,3844.0,3596.0,1480.0,2325.0
79500US5311603,"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, WA",151927.0,4051.0,2972.0,3938.0,3606.0,11335.0,30648.0,21568.0,13263.0,10935.0,8504.0,8061.0,7404.0,6175.0,6412.0,4318.0,2306.0,3676.0,2755.0
79500US5311604,"Seattle City (Southeast)--Capitol Hill PUMA, WA",133575.0,7676.0,6583.0,6341.0,6824.0,10050.0,14614.0,14673.0,10575.0,10750.0,8729.0,8091.0,7458.0,5802.0,5226.0,4513.0,2211.0,1828.0,1631.0
79500US5311605,"Seattle City (West)--Duwamish & Beacon Hill PUMA, WA",147000.0,9624.0,7928.0,6651.0,3847.0,5325.0,13411.0,14113.0,14555.0,11205.0,9956.0,9191.0,9452.0,7684.0,8363.0,6773.0,3517.0,3019.0,2386.0
79500US5311606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",126762.0,7726.0,8820.0,5606.0,5647.0,4400.0,10077.0,11701.0,10638.0,8956.0,9057.0,7519.0,7773.0,7788.0,7925.0,5941.0,2301.0,2195.0,2692.0
79500US5311607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",149738.0,10434.0,10687.0,8460.0,7993.0,7439.0,12650.0,18234.0,14978.0,11006.0,9424.0,7916.0,8165.0,7950.0,5632.0,3364.0,2597.0,1372.0,1437.0
79500US5311608,"King County (Northwest Central)--Greater Bellevue City PUMA, WA",150769.0,8481.0,8339.0,9365.0,7384.0,8016.0,14413.0,12981.0,10366.0,11592.0,10341.0,10860.0,9036.0,7848.0,6507.0,4476.0,3735.0,2865.0,4164.0
79500US5311609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",155897.0,8583.0,9476.0,12292.0,12446.0,5503.0,8169.0,9343.0,10880.0,13332.0,16227.0,11595.0,10150.0,8899.0,5405.0,4926.0,3689.0,1967.0,3015.0
79500US5311610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA, WA",143746.0,7972.0,8968.0,7197.0,8164.0,9191.0,13707.0,13588.0,12250.0,9638.0,9138.0,8118.0,9218.0,7908.0,7364.0,3839.0,2127.0,2466.0,2893.0
79500US5311611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",139635.0,7978.0,8156.0,6482.0,6577.0,7738.0,13030.0,11368.0,10307.0,10668.0,10773.0,9720.0,8977.0,8286.0,6576.0,5044.0,3291.0,1869.0,2795.0
79500US5311612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA, WA",132939.0,10145.0,8669.0,8863.0,7730.0,7949.0,10709.0,9266.0,11135.0,7671.0,8547.0,7494.0,8236.0,8099.0,5727.0,5791.0,3229.0,1504.0,2175.0
79500US5311613,"King County (Southwest Central)--Kent City PUMA, WA",130727.0,9441.0,9964.0,8988.0,8366.0,8035.0,9323.0,10905.0,7066.0,8664.0,8033.0,8019.0,9244.0,7560.0,5545.0,4593.0,2754.0,1761.0,2466.0
79500US5311614,"King County (Southwest)--Auburn City & Lakeland PUMA, WA",117978.0,7942.0,9134.0,7290.0,6969.0,5491.0,8577.0,11418.0,6981.0,5688.0,6921.0,7499.0,8962.0,8645.0,4993.0,4687.0,3683.0,1648.0,1450.0
79500US5311615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA, WA",122173.0,6188.0,9609.0,9645.0,7372.0,4237.0,4916.0,6884.0,8617.0,9121.0,7750.0,10432.0,11045.0,10273.0,5625.0,4282.0,2483.0,2244.0,1450.0
79500US5311616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",117957.0,6167.0,7429.0,9368.0,7371.0,4459.0,6075.0,5221.0,9120.0,9457.0,10968.0,9232.0,10103.0,7855.0,5415.0,4109.0,2273.0,1470.0,1865.0
79500US5311701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA, WA",126804.0,8283.0,5503.0,7946.0,6719.0,6100.0,9853.0,7747.0,9627.0,9075.0,9957.0,7784.0,8340.0,8542.0,6149.0,5628.0,3818.0,2274.0,3459.0
79500US5311702,"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, WA",130073.0,5656.0,7228.0,8689.0,7160.0,10341.0,10354.0,10009.0,10551.0,8847.0,8860.0,8435.0,8619.0,9010.0,6629.0,4239.0,2804.0,925.0,1717.0
79500US5311703,"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, WA",121169.0,8362.0,6182.0,6589.0,6687.0,9210.0,11260.0,9592.0,9731.0,5596.0,6184.0,7821.0,8708.0,7504.0,5566.0,4936.0,3546.0,1541.0,2154.0
79500US5311704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA, WA",145447.0,10402.0,14085.0,9897.0,7274.0,6366.0,9324.0,12162.0,14934.0,9912.0,9321.0,9860.0,8563.0,7353.0,6456.0,4046.0,2558.0,1526.0,1408.0
79500US5311705,"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, WA",139621.0,8424.0,8940.0,10942.0,8769.0,5737.0,9085.0,10580.0,11727.0,8972.0,12010.0,10040.0,9093.0,9017.0,6107.0,5196.0,2775.0,1330.0,877.0
79500US5311706,"Snohomish County (North)--Marysville & Arlington Cities PUMA, WA",151787.0,10480.0,7863.0,8997.0,9600.0,8852.0,9132.0,11895.0,9846.0,7437.0,9283.0,11233.0,13881.0,11069.0,8450.0,5488.0,3701.0,2164.0,2416.0
