Age,Percent
16,0.278
17,0.278
18,0.278
19,0.278
20,0.407
21,0.407
22,0.407
23,0.407
24,0.407
25,0.548
26,0.548
27,0.548
28,0.548
29,0.548
30,0.649
31,0.649
32,0.649
33,0.649
34,0.649
35,0.732
36,0.732
37,0.732
38,0.732
39,0.732
40,0.732
41,0.732
42,0.732
43,0.732
44,0.732
45,0.826
46,0.826
47,0.826
48,0.826
49,0.826
50,0.826
51,0.826
52,0.826
53,0.826
54,0.826
55,0.732
56,0.732
57,0.732
58,0.732
59,0.732
60,0.487
61,0.487
62,0.487
63,0.487
64,0.487
65,0.179
66,0.179
67,0.179
68,0.179
69,0.179
70,0.179
71,0.179
72,0.179
73,0.179
74,0.179
75,0.108
76,0.108
77,0.108
78,0.108
79,0.108
80,0.108
81,0.108
82,0.108
83,0.108
84,0.108
85,0.108
86,0.108
87,0.108
88,0.108
89,0.108
90,0.108
91,0.108
92,0.108
93,0.108
94,0.108
95,0.108
96,0.108
97,0.108
98,0.108
99,0.108
100,0.108
