,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US53033002400,"Census Tract 24, King, WA",1295.0,894.0,442.0,203.0,198.0,51.0,0.0,0.0,401.0,270.0,72.0,31.0,9.0,9.0,10.0,0.0,0,270.0,514.0,234.0,207.0,60.0,10.0,0.0
14000US53033002500,"Census Tract 25, King, WA",1318.0,749.0,283.0,221.0,205.0,30.0,10.0,0.0,569.0,369.0,86.0,64.0,0.0,0.0,50.0,0.0,0,369.0,369.0,285.0,205.0,30.0,60.0,0.0
14000US53033002600,"Census Tract 26, King, WA",1946.0,1295.0,474.0,408.0,282.0,103.0,28.0,0.0,651.0,378.0,183.0,28.0,22.0,6.0,28.0,6.0,0,378.0,657.0,436.0,304.0,109.0,56.0,6.0
14000US53033002700,"Census Tract 27, King, WA",2459.0,1284.0,573.0,346.0,300.0,23.0,20.0,22.0,1175.0,723.0,148.0,27.0,143.0,134.0,0.0,0.0,0,723.0,721.0,373.0,443.0,157.0,20.0,22.0
14000US53033002800,"Census Tract 28, King, WA",2160.0,1064.0,461.0,230.0,297.0,39.0,37.0,0.0,1096.0,737.0,270.0,52.0,37.0,0.0,0.0,0.0,0,737.0,731.0,282.0,334.0,39.0,37.0,0.0
14000US53033002900,"Census Tract 29, King, WA",1967.0,1278.0,438.0,407.0,376.0,24.0,12.0,21.0,689.0,579.0,101.0,9.0,0.0,0.0,0.0,0.0,0,579.0,539.0,416.0,376.0,24.0,12.0,21.0
14000US53033003000,"Census Tract 30, King, WA",2627.0,1586.0,739.0,343.0,417.0,58.0,18.0,11.0,1041.0,692.0,224.0,77.0,48.0,0.0,0.0,0.0,0,692.0,963.0,420.0,465.0,58.0,18.0,11.0
14000US53033003100,"Census Tract 31, King, WA",2778.0,1853.0,847.0,502.0,477.0,27.0,0.0,0.0,925.0,774.0,118.0,17.0,16.0,0.0,0.0,0.0,0,774.0,965.0,519.0,493.0,27.0,0.0,0.0
14000US53033003200,"Census Tract 32, King, WA",4402.0,1990.0,1053.0,674.0,216.0,24.0,23.0,0.0,2412.0,1673.0,628.0,75.0,0.0,14.0,0.0,22.0,0,1673.0,1681.0,749.0,216.0,38.0,23.0,22.0
14000US53033003300,"Census Tract 33, King, WA",3382.0,1723.0,743.0,532.0,380.0,68.0,0.0,0.0,1659.0,867.0,701.0,81.0,10.0,0.0,0.0,0.0,0,867.0,1444.0,613.0,390.0,68.0,0.0,0.0
14000US53033003400,"Census Tract 34, King, WA",1560.0,994.0,515.0,258.0,181.0,40.0,0.0,0.0,566.0,371.0,135.0,39.0,12.0,9.0,0.0,0.0,0,371.0,650.0,297.0,193.0,49.0,0.0,0.0
14000US53033003500,"Census Tract 35, King, WA",1921.0,944.0,403.0,298.0,187.0,38.0,18.0,0.0,977.0,707.0,187.0,54.0,16.0,13.0,0.0,0.0,0,707.0,590.0,352.0,203.0,51.0,18.0,0.0
14000US53033003600,"Census Tract 36, King, WA",3745.0,1231.0,703.0,268.0,228.0,32.0,0.0,0.0,2514.0,1659.0,657.0,133.0,33.0,32.0,0.0,0.0,0,1659.0,1360.0,401.0,261.0,64.0,0.0,0.0
14000US53033003800,"Census Tract 38, King, WA",915.0,570.0,212.0,127.0,180.0,51.0,0.0,0.0,345.0,249.0,55.0,13.0,22.0,6.0,0.0,0.0,0,249.0,267.0,140.0,202.0,57.0,0.0,0.0
14000US53033003900,"Census Tract 39, King, WA",1202.0,833.0,328.0,256.0,188.0,61.0,0.0,0.0,369.0,269.0,42.0,41.0,17.0,0.0,0.0,0.0,0,269.0,370.0,297.0,205.0,61.0,0.0,0.0
14000US53033004000,"Census Tract 40, King, WA",1396.0,762.0,360.0,159.0,168.0,67.0,8.0,0.0,634.0,489.0,145.0,0.0,0.0,0.0,0.0,0.0,0,489.0,505.0,159.0,168.0,67.0,8.0,0.0
14000US53033004100,"Census Tract 41, King, WA",2957.0,2252.0,888.0,525.0,511.0,310.0,0.0,18.0,705.0,490.0,203.0,0.0,12.0,0.0,0.0,0.0,0,490.0,1091.0,525.0,523.0,310.0,0.0,18.0
14000US53033004200,"Census Tract 42, King, WA",3370.0,2173.0,962.0,485.0,588.0,77.0,22.0,39.0,1197.0,880.0,131.0,11.0,115.0,60.0,0.0,0.0,0,880.0,1093.0,496.0,703.0,137.0,22.0,39.0
14000US53033004301,"Census Tract 43.01, King, WA",1458.0,756.0,302.0,108.0,295.0,34.0,17.0,0.0,702.0,453.0,110.0,34.0,58.0,35.0,6.0,6.0,0,453.0,412.0,142.0,353.0,69.0,23.0,6.0
14000US53033004302,"Census Tract 43.02, King, WA",1594.0,244.0,183.0,26.0,35.0,0.0,0.0,0.0,1350.0,767.0,334.0,116.0,61.0,36.0,36.0,0.0,0,767.0,517.0,142.0,96.0,36.0,36.0,0.0
