Age,Percent
16,0.332
17,0.332
18,0.332
19,0.332
20,0.699
21,0.699
22,0.699
23,0.699
24,0.699
25,0.784
26,0.784
27,0.784
28,0.784
29,0.784
30,0.782
31,0.782
32,0.782
33,0.782
34,0.782
35,0.792
36,0.792
37,0.792
38,0.792
39,0.792
40,0.792
41,0.792
42,0.792
43,0.792
44,0.792
45,0.801
46,0.801
47,0.801
48,0.801
49,0.801
50,0.801
51,0.801
52,0.801
53,0.801
54,0.801
55,0.721
56,0.721
57,0.721
58,0.721
59,0.721
60,0.567
61,0.567
62,0.567
63,0.567
64,0.567
65,0.242
66,0.242
67,0.242
68,0.242
69,0.242
70,0.242
71,0.242
72,0.242
73,0.242
74,0.242
75,0.064
76,0.064
77,0.064
78,0.064
79,0.064
80,0.064
81,0.064
82,0.064
83,0.064
84,0.064
85,0.064
86,0.064
87,0.064
88,0.064
89,0.064
90,0.064
91,0.064
92,0.064
93,0.064
94,0.064
95,0.064
96,0.064
97,0.064
98,0.064
99,0.064
100,0.064
