Age,Percent
16,0.323
17,0.323
18,0.323
19,0.323
20,0.731
21,0.731
22,0.731
23,0.731
24,0.731
25,0.815
26,0.815
27,0.815
28,0.815
29,0.815
30,0.805
31,0.805
32,0.805
33,0.805
34,0.805
35,0.811
36,0.811
37,0.811
38,0.811
39,0.811
40,0.811
41,0.811
42,0.811
43,0.811
44,0.811
45,0.815
46,0.815
47,0.815
48,0.815
49,0.815
50,0.815
51,0.815
52,0.815
53,0.815
54,0.815
55,0.738
56,0.738
57,0.738
58,0.738
59,0.738
60,0.587
61,0.587
62,0.587
63,0.587
64,0.587
65,0.257
66,0.257
67,0.257
68,0.257
69,0.257
70,0.257
71,0.257
72,0.257
73,0.257
74,0.257
75,0.056
76,0.056
77,0.056
78,0.056
79,0.056
80,0.056
81,0.056
82,0.056
83,0.056
84,0.056
85,0.056
86,0.056
87,0.056
88,0.056
89,0.056
90,0.056
91,0.056
92,0.056
93,0.056
94,0.056
95,0.056
96,0.056
97,0.056
98,0.056
99,0.056
100,0.056
