,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41001950100,"Census Tract 9501, Baker, OR",1255.0,861.0,542.0,138.0,115.0,30.0,9.0,27.0,394.0,325.0,67.0,0.0,0.0,2.0,0.0,0.0,0,325.0,609.0,138.0,115.0,32.0,9.0,27.0
14000US41001950200,"Census Tract 9502, Baker, OR",1422.0,884.0,411.0,141.0,226.0,53.0,14.0,39.0,538.0,449.0,45.0,11.0,33.0,0.0,0.0,0.0,0,449.0,456.0,152.0,259.0,53.0,14.0,39.0
14000US41001950300,"Census Tract 9503, Baker, OR",1122.0,620.0,355.0,144.0,24.0,28.0,63.0,6.0,502.0,419.0,80.0,0.0,3.0,0.0,0.0,0.0,0,419.0,435.0,144.0,27.0,28.0,63.0,6.0
14000US41001950400,"Census Tract 9504, Baker, OR",1231.0,679.0,353.0,146.0,112.0,56.0,12.0,0.0,552.0,458.0,94.0,0.0,0.0,0.0,0.0,0.0,0,458.0,447.0,146.0,112.0,56.0,12.0,0.0
14000US41001950500,"Census Tract 9505, Baker, OR",972.0,673.0,405.0,129.0,81.0,40.0,15.0,3.0,299.0,276.0,11.0,0.0,12.0,0.0,0.0,0.0,0,276.0,416.0,129.0,93.0,40.0,15.0,3.0
14000US41001950600,"Census Tract 9506, Baker, OR",925.0,602.0,406.0,106.0,34.0,28.0,11.0,17.0,323.0,270.0,47.0,6.0,0.0,0.0,0.0,0.0,0,270.0,453.0,112.0,34.0,28.0,11.0,17.0
14000US41003000100,"Census Tract 1, Benton, OR",3208.0,1967.0,877.0,514.0,351.0,102.0,111.0,12.0,1241.0,738.0,317.0,95.0,74.0,17.0,0.0,0.0,0,738.0,1194.0,609.0,425.0,119.0,111.0,12.0
14000US41003000202,"Census Tract 2.02, Benton, OR",2217.0,1222.0,723.0,261.0,117.0,77.0,27.0,17.0,995.0,515.0,340.0,101.0,39.0,0.0,0.0,0.0,0,515.0,1063.0,362.0,156.0,77.0,27.0,17.0
14000US41003000400,"Census Tract 4, Benton, OR",3313.0,2209.0,1242.0,559.0,272.0,98.0,38.0,0.0,1104.0,664.0,397.0,30.0,0.0,13.0,0.0,0.0,0,664.0,1639.0,589.0,272.0,111.0,38.0,0.0
14000US41003000500,"Census Tract 5, Benton, OR",1384.0,980.0,546.0,171.0,236.0,23.0,0.0,4.0,404.0,351.0,28.0,12.0,0.0,13.0,0.0,0.0,0,351.0,574.0,183.0,236.0,36.0,0.0,4.0
