,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
14000US41051000100,"Census Tract 1, Multnomah, OR",6412.0,550.0,297.0,315.0,123.0,141.0,403.0,655.0,526.0,478.0,554.0,453.0,399.0,486.0,454.0,163.0,162.0,98.0,155.0
14000US41051000200,"Census Tract 2, Multnomah, OR",6220.0,358.0,396.0,253.0,172.0,213.0,497.0,572.0,804.0,439.0,515.0,409.0,330.0,308.0,305.0,181.0,197.0,117.0,154.0
14000US41051000301,"Census Tract 3.01, Multnomah, OR",5647.0,194.0,158.0,106.0,667.0,972.0,718.0,462.0,374.0,246.0,297.0,286.0,232.0,233.0,211.0,264.0,67.0,99.0,61.0
14000US41051000302,"Census Tract 3.02, Multnomah, OR",7216.0,578.0,524.0,476.0,351.0,137.0,286.0,492.0,563.0,634.0,535.0,725.0,358.0,504.0,305.0,367.0,107.0,109.0,165.0
14000US41051000401,"Census Tract 4.01, Multnomah, OR",3884.0,235.0,220.0,145.0,169.0,125.0,357.0,322.0,451.0,351.0,301.0,215.0,179.0,336.0,172.0,208.0,39.0,19.0,40.0
14000US41051000402,"Census Tract 4.02, Multnomah, OR",3520.0,236.0,172.0,147.0,90.0,256.0,327.0,464.0,350.0,381.0,169.0,164.0,184.0,197.0,170.0,97.0,69.0,6.0,41.0
14000US41051000501,"Census Tract 5.01, Multnomah, OR",4198.0,329.0,190.0,211.0,115.0,313.0,434.0,358.0,611.0,270.0,354.0,329.0,166.0,147.0,162.0,67.0,86.0,17.0,39.0
14000US41051000502,"Census Tract 5.02, Multnomah, OR",5251.0,289.0,276.0,206.0,189.0,314.0,521.0,454.0,662.0,482.0,337.0,310.0,338.0,234.0,218.0,171.0,120.0,79.0,51.0
14000US41051000601,"Census Tract 6.01, Multnomah, OR",5333.0,189.0,362.0,363.0,416.0,263.0,460.0,467.0,554.0,363.0,581.0,343.0,238.0,263.0,155.0,152.0,130.0,0.0,34.0
14000US41051000602,"Census Tract 6.02, Multnomah, OR",6305.0,365.0,475.0,506.0,364.0,273.0,676.0,559.0,613.0,593.0,385.0,363.0,392.0,266.0,233.0,122.0,61.0,35.0,24.0
