,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US0900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",61253.0,43696.0,18898.0,9864.0,7954.0,4733.0,1534.0,713.0,17557.0,14898.0,1986.0,82.0,591.0,0.0,0.0,0.0,0,14898.0,20884.0,9946.0,8545.0,4733.0,1534.0,713.0
79500US0900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",40060.0,30253.0,11918.0,6967.0,6861.0,3165.0,1009.0,333.0,9807.0,8080.0,959.0,192.0,165.0,411.0,0.0,0.0,0,8080.0,12877.0,7159.0,7026.0,3576.0,1009.0,333.0
79500US0900102,"Stamford & Greenwich Towns PUMA, CT",73567.0,48274.0,19120.0,11935.0,10143.0,5798.0,836.0,442.0,25293.0,19887.0,3528.0,1313.0,565.0,0.0,0.0,0.0,0,19887.0,22648.0,13248.0,10708.0,5798.0,836.0,442.0
79500US0900103,"Norwalk, Westport & Darien Towns PUMA, CT",52957.0,34687.0,13109.0,8824.0,7988.0,3005.0,810.0,951.0,18270.0,15622.0,2426.0,0.0,222.0,0.0,0.0,0.0,0,15622.0,15535.0,8824.0,8210.0,3005.0,810.0,951.0
79500US3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",60338.0,38257.0,16216.0,10166.0,7784.0,2893.0,914.0,284.0,22081.0,19642.0,2299.0,0.0,105.0,35.0,0.0,0.0,0,19642.0,18515.0,10166.0,7889.0,2928.0,914.0,284.0
79500US3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",36354.0,29615.0,11961.0,5934.0,8349.0,2471.0,645.0,255.0,6739.0,6007.0,669.0,63.0,0.0,0.0,0.0,0.0,0,6007.0,12630.0,5997.0,8349.0,2471.0,645.0,255.0
79500US3400601,"Hudson County (Central)--Jersey City (North) PUMA, NJ",60162.0,32207.0,14648.0,9059.0,5558.0,2019.0,697.0,226.0,27955.0,18172.0,6951.0,2024.0,766.0,42.0,0.0,0.0,0,18172.0,21599.0,11083.0,6324.0,2061.0,697.0,226.0
79500US3400602,"Hudson County (Central)--Jersey City (South) PUMA, NJ",39626.0,27500.0,7902.0,8333.0,5828.0,3012.0,1421.0,1004.0,12126.0,10251.0,1586.0,230.0,59.0,0.0,0.0,0.0,0,10251.0,9488.0,8563.0,5887.0,3012.0,1421.0,1004.0
79500US3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA, NJ",58649.0,36968.0,14948.0,9695.0,6909.0,3725.0,854.0,837.0,21681.0,16901.0,3849.0,367.0,277.0,287.0,0.0,0.0,0,16901.0,18797.0,10062.0,7186.0,4012.0,854.0,837.0
79500US3400702,"Hudson County (Northeast)--Union City & Hoboken Cities PUMA, NJ",57233.0,30321.0,11743.0,8358.0,5542.0,2335.0,1557.0,786.0,26912.0,17683.0,7403.0,1309.0,517.0,0.0,0.0,0.0,0,17683.0,19146.0,9667.0,6059.0,2335.0,1557.0,786.0
79500US3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA, NJ",48254.0,31961.0,11239.0,8106.0,7018.0,2949.0,1363.0,1286.0,16293.0,14024.0,1719.0,443.0,0.0,34.0,0.0,73.0,0,14024.0,12958.0,8549.0,7018.0,2983.0,1363.0,1359.0
79500US3400901,"Middlesex County (Southeast) PUMA, NJ",47504.0,32402.0,14346.0,6770.0,7221.0,2631.0,893.0,541.0,15102.0,13591.0,1346.0,49.0,116.0,0.0,0.0,0.0,0,13591.0,15692.0,6819.0,7337.0,2631.0,893.0,541.0
79500US3400905,"Middlesex County (Northeast)--Carteret Borough PUMA, NJ",37704.0,28014.0,9850.0,7072.0,6340.0,2520.0,1631.0,601.0,9690.0,8696.0,841.0,66.0,87.0,0.0,0.0,0.0,0,8696.0,10691.0,7138.0,6427.0,2520.0,1631.0,601.0
79500US3400907,"Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA, NJ",38213.0,28275.0,9830.0,8167.0,5765.0,3257.0,740.0,516.0,9938.0,8591.0,955.0,392.0,0.0,0.0,0.0,0.0,0,8591.0,10785.0,8559.0,5765.0,3257.0,740.0,516.0
79500US3401101,"Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA, NJ",44357.0,25655.0,12930.0,4911.0,4539.0,2049.0,796.0,430.0,18702.0,15561.0,2767.0,295.0,0.0,79.0,0.0,0.0,0,15561.0,15697.0,5206.0,4539.0,2128.0,796.0,430.0
79500US3401105,"Monmouth County (Northwest)--Keansburg Borough PUMA, NJ",39229.0,27614.0,11562.0,6529.0,6101.0,2268.0,594.0,560.0,11615.0,9394.0,1867.0,354.0,0.0,0.0,0.0,0.0,0,9394.0,13429.0,6883.0,6101.0,2268.0,594.0,560.0
79500US3401800,"Union County (Northeast)--Elizabeth City PUMA, NJ",40118.0,29194.0,8596.0,6208.0,9235.0,2844.0,1198.0,1113.0,10924.0,8779.0,1566.0,398.0,181.0,0.0,0.0,0.0,0,8779.0,10162.0,6606.0,9416.0,2844.0,1198.0,1113.0
79500US3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA, NJ",40796.0,27593.0,11086.0,6304.0,5914.0,2640.0,827.0,822.0,13203.0,11014.0,2189.0,0.0,0.0,0.0,0.0,0.0,0,11014.0,13275.0,6304.0,5914.0,2640.0,827.0,822.0
79500US3603001,"Rockland County (North)--New City & Congers PUMA, NY",35063.0,27205.0,10338.0,5808.0,7129.0,2290.0,951.0,689.0,7858.0,6280.0,1511.0,0.0,0.0,67.0,0.0,0.0,0,6280.0,11849.0,5808.0,7129.0,2357.0,951.0,689.0
79500US3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",36089.0,24825.0,10074.0,5372.0,4763.0,2050.0,1803.0,763.0,11264.0,9582.0,1330.0,164.0,14.0,70.0,104.0,0.0,0,9582.0,11404.0,5536.0,4777.0,2120.0,1907.0,763.0
79500US3603101,"Putnam County PUMA, NY",36919.0,28252.0,12384.0,6823.0,5609.0,2486.0,624.0,326.0,8667.0,6886.0,1478.0,230.0,73.0,0.0,0.0,0.0,0,6886.0,13862.0,7053.0,5682.0,2486.0,624.0,326.0
79500US3603102,"Westchester County (Northwest) PUMA, NY",53325.0,37020.0,14923.0,8910.0,8371.0,3336.0,1041.0,439.0,16305.0,13570.0,2380.0,311.0,44.0,0.0,0.0,0.0,0,13570.0,17303.0,9221.0,8415.0,3336.0,1041.0,439.0
