,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US36005000100,"Census Tract 1, Bronx, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US36005000200,"Census Tract 2, Bronx, NY",1328.0,298.0,310.0,248.0,214.0,82.0,53.0,123.0
14000US36005000400,"Census Tract 4, Bronx, NY",1963.0,390.0,556.0,542.0,279.0,119.0,77.0,0.0
14000US36005001600,"Census Tract 16, Bronx, NY",1982.0,416.0,655.0,350.0,354.0,133.0,33.0,41.0
14000US36005001900,"Census Tract 19, Bronx, NY",929.0,345.0,237.0,133.0,139.0,56.0,7.0,12.0
14000US36005002000,"Census Tract 20, Bronx, NY",3151.0,981.0,541.0,667.0,585.0,208.0,73.0,96.0
14000US36005002300,"Census Tract 23, Bronx, NY",2000.0,839.0,542.0,226.0,244.0,114.0,17.0,18.0
14000US36005002400,"Census Tract 24, Bronx, NY",43.0,0.0,0.0,5.0,38.0,0.0,0.0,0.0
14000US36005002500,"Census Tract 25, Bronx, NY",1947.0,600.0,435.0,375.0,116.0,226.0,59.0,136.0
14000US36005002701,"Census Tract 27.01, Bronx, NY",1061.0,383.0,250.0,127.0,138.0,90.0,60.0,13.0
14000US36005002702,"Census Tract 27.02, Bronx, NY",1484.0,419.0,407.0,135.0,238.0,192.0,71.0,22.0
14000US36005002800,"Census Tract 28, Bronx, NY",2309.0,835.0,817.0,368.0,103.0,186.0,0.0,0.0
14000US36005003100,"Census Tract 31, Bronx, NY",597.0,169.0,118.0,169.0,61.0,43.0,16.0,21.0
14000US36005003300,"Census Tract 33, Bronx, NY",1198.0,376.0,290.0,176.0,148.0,124.0,10.0,74.0
14000US36005003500,"Census Tract 35, Bronx, NY",1293.0,349.0,212.0,346.0,223.0,88.0,65.0,10.0
14000US36005003700,"Census Tract 37, Bronx, NY",148.0,76.0,25.0,47.0,0.0,0.0,0.0,0.0
14000US36005003800,"Census Tract 38, Bronx, NY",411.0,86.0,93.0,66.0,71.0,55.0,23.0,17.0
14000US36005003900,"Census Tract 39, Bronx, NY",2047.0,768.0,271.0,269.0,248.0,174.0,187.0,130.0
14000US36005004001,"Census Tract 40.01, Bronx, NY",484.0,129.0,112.0,82.0,63.0,64.0,33.0,1.0
14000US36005004100,"Census Tract 41, Bronx, NY",2056.0,695.0,511.0,349.0,219.0,181.0,101.0,0.0
14000US36005004200,"Census Tract 42, Bronx, NY",2736.0,918.0,672.0,505.0,333.0,263.0,0.0,45.0
14000US36005004300,"Census Tract 43, Bronx, NY",2111.0,776.0,424.0,300.0,198.0,277.0,63.0,73.0
14000US36005004400,"Census Tract 44, Bronx, NY",1641.0,496.0,535.0,298.0,118.0,78.0,60.0,56.0
14000US36005004600,"Census Tract 46, Bronx, NY",706.0,265.0,114.0,199.0,93.0,0.0,13.0,22.0
14000US36005004800,"Census Tract 48, Bronx, NY",1407.0,201.0,357.0,305.0,329.0,136.0,46.0,33.0
14000US36005005001,"Census Tract 50.01, Bronx, NY",1565.0,449.0,351.0,336.0,155.0,135.0,105.0,34.0
14000US36005005002,"Census Tract 50.02, Bronx, NY",1871.0,519.0,442.0,333.0,301.0,195.0,52.0,29.0
14000US36005005100,"Census Tract 51, Bronx, NY",2083.0,471.0,609.0,516.0,379.0,97.0,11.0,0.0
14000US36005005200,"Census Tract 52, Bronx, NY",834.0,340.0,227.0,79.0,121.0,25.0,0.0,42.0
14000US36005005300,"Census Tract 53, Bronx, NY",1591.0,475.0,359.0,285.0,281.0,104.0,72.0,15.0
