,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US5311601,"Seattle City (Northwest) PUMA, WA",77167.0,26311.0,29010.0,12204.0,7641.0,1544.0,373.0,84.0
79500US5311602,"Seattle City (Northeast) PUMA, WA",57530.0,18606.0,19851.0,8630.0,7063.0,2192.0,497.0,691.0
79500US5311603,"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, WA",87085.0,46453.0,29369.0,6855.0,3268.0,820.0,221.0,99.0
79500US5311604,"Seattle City (Southeast)--Capitol Hill PUMA, WA",54226.0,18064.0,19175.0,6489.0,6507.0,1347.0,1443.0,1201.0
79500US5311605,"Seattle City (West)--Duwamish & Beacon Hill PUMA, WA",61941.0,20039.0,20792.0,10558.0,6606.0,2060.0,1070.0,816.0
79500US5311606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",50245.0,12897.0,17658.0,8749.0,7160.0,2664.0,1068.0,49.0
79500US5311607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",59402.0,14965.0,19817.0,10828.0,10056.0,2745.0,868.0,123.0
79500US5311608,"King County (Northwest Central)--Greater Bellevue City PUMA, WA",59796.0,16218.0,19702.0,10343.0,8676.0,3254.0,1035.0,568.0
79500US5311609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",58100.0,11099.0,18893.0,11643.0,11891.0,3559.0,728.0,287.0
79500US5311610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA, WA",55304.0,13827.0,19947.0,9139.0,6963.0,2635.0,1643.0,1150.0
79500US5311611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",50454.0,12756.0,17316.0,7574.0,6689.0,3212.0,1411.0,1496.0
79500US5311612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA, WA",50368.0,13987.0,15087.0,9287.0,6079.0,3954.0,1272.0,702.0
79500US5311613,"King County (Southwest Central)--Kent City PUMA, WA",44559.0,9365.0,14650.0,7099.0,7183.0,2867.0,1162.0,2233.0
79500US5311614,"King County (Southwest)--Auburn City & Lakeland PUMA, WA",43665.0,11926.0,13781.0,6360.0,6730.0,2388.0,1300.0,1180.0
79500US5311615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA, WA",44621.0,8156.0,18416.0,5864.0,6754.0,3243.0,1593.0,595.0
79500US5311616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",43013.0,7431.0,15009.0,8124.0,8472.0,3026.0,619.0,332.0
79500US5311701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA, WA",48266.0,11932.0,18086.0,7620.0,6356.0,2491.0,1210.0,571.0
79500US5311702,"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, WA",50513.0,12455.0,17746.0,8497.0,7970.0,2391.0,1053.0,401.0
79500US5311703,"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, WA",46875.0,13764.0,14842.0,7561.0,6379.0,2596.0,1310.0,423.0
79500US5311704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA, WA",49484.0,7407.0,17126.0,8273.0,10798.0,3866.0,1089.0,925.0
79500US5311705,"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, WA",48340.0,8603.0,17063.0,8786.0,8193.0,4161.0,772.0,762.0
79500US5311706,"Snohomish County (North)--Marysville & Arlington Cities PUMA, WA",56737.0,12155.0,21675.0,9669.0,6662.0,4188.0,1246.0,1142.0
