age_bracket,percent
0_4,0.0600174445961920
5_9,0.0556869001029078
10_14,0.0674964326565901
15_19,0.0645736976805573
20_24,0.0657883159461207
25_29,0.0763392361868255
30_34,0.0730626360468097
35_39,0.0656926767126118
40_44,0.0597802592970899
45_49,0.0598433811912058
50_54,0.0569589019085765
55_59,0.0605778905045543
60_64,0.0686880975061114
65_69,0.0492006472863324
70_74,0.0510024904456406
75_79,0.0282633062865581
80_84,0.0194931885737895
85_89,0.0116896647143511
90_94,0.0048706936309796
95_100,0.0009741387261959
