Age,Percent
16,0.323
17,0.323
18,0.323
19,0.323
20,0.694
21,0.694
22,0.694
23,0.694
24,0.694
25,0.793
26,0.793
27,0.793
28,0.793
29,0.793
30,0.787
31,0.787
32,0.787
33,0.787
34,0.787
35,0.799
36,0.799
37,0.799
38,0.799
39,0.799
40,0.799
41,0.799
42,0.799
43,0.799
44,0.799
45,0.794
46,0.794
47,0.794
48,0.794
49,0.794
50,0.794
51,0.794
52,0.794
53,0.794
54,0.794
55,0.691
56,0.691
57,0.691
58,0.691
59,0.691
60,0.552
61,0.552
62,0.552
63,0.552
64,0.552
65,0.233
66,0.233
67,0.233
68,0.233
69,0.233
70,0.233
71,0.233
72,0.233
73,0.233
74,0.233
75,0.060
76,0.060
77,0.060
78,0.060
79,0.060
80,0.060
81,0.060
82,0.060
83,0.060
84,0.060
85,0.060
86,0.060
87,0.060
88,0.060
89,0.060
90,0.060
91,0.060
92,0.060
93,0.060
94,0.060
95,0.060
96,0.060
97,0.060
98,0.060
99,0.060
100,0.060
