Age,Percent
16,0.187
17,0.187
18,0.187
19,0.187
20,0.774
21,0.774
22,0.774
23,0.774
24,0.774
25,0.687
26,0.687
27,0.687
28,0.687
29,0.687
30,0.739
31,0.739
32,0.739
33,0.739
34,0.739
35,0.747
36,0.747
37,0.747
38,0.747
39,0.747
40,0.747
41,0.747
42,0.747
43,0.747
44,0.747
45,0.673
46,0.673
47,0.673
48,0.673
49,0.673
50,0.673
51,0.673
52,0.673
53,0.673
54,0.673
55,0.735
56,0.735
57,0.735
58,0.735
59,0.735
60,0.694
61,0.694
62,0.694
63,0.694
64,0.694
65,0.155
66,0.155
67,0.155
68,0.155
69,0.155
70,0.155
71,0.155
72,0.155
73,0.155
74,0.155
75,0.020
76,0.020
77,0.020
78,0.020
79,0.020
80,0.020
81,0.020
82,0.020
83,0.020
84,0.020
85,0.020
86,0.020
87,0.020
88,0.020
89,0.020
90,0.020
91,0.020
92,0.020
93,0.020
94,0.020
95,0.020
96,0.020
97,0.020
98,0.020
99,0.020
100,0.020
