family_size,household_head_age_15_19,household_head_age_20_24,household_head_age_25_29,household_head_age_30_34,household_head_age_35_39,household_head_age_40_44,household_head_age_45_49,household_head_age_50_54,household_head_age_55_59,household_head_age_60_64,household_head_age_65_69,household_head_age_70_74,household_head_age_75_79,household_head_age_80_100
1,1,5,16,21,12,12,10,7,4,13,6,2,0,1
2,0,5,7,8,11,9,2,9,9,5,3,1,1,1
3,0,1,8,10,15,19,6,8,8,4,6,2,1,1
4,0,3,5,11,12,11,9,10,8,4,3,1,1,0
5,0,2,2,10,13,16,13,5,9,4,6,3,1,1
6,0,1,0,3,5,10,14,11,9,11,1,2,1,0
7,0,0,0,2,7,12,11,13,7,6,8,1,1,4
8,0,0,1,2,3,5,3,6,7,4,6,1,1,0
9,0,0,1,4,2,4,10,8,10,6,4,2,3,3
10,0,0,0,1,1,1,8,3,8,6,6,3,1,0
11,0,0,0,1,2,3,2,4,8,6,6,3,3,1
12,0,0,0,1,2,1,1,0,1,6,1,1,1,1
13,0,0,0,0,1,2,2,6,2,1,2,2,2,0
14,0,0,0,1,2,1,1,3,2,4,5,2,0,1
15,0,0,0,0,1,0,0,1,1,2,2,2,2,3
16,0,0,0,0,0,0,1,1,3,1,4,1,1,0
17,0,0,0,0,1,0,0,2,4,2,0,0,0,1
18,0,1,0,0,0,1,3,2,6,9,6,12,7,7
