bin,percent
0,0.0
1,0.08955223880597014
2,0.13432835820895522
3,0.13432835820895522
4,0.19402985074626866
5,0.1044776119402985
6,0.11940298507462686
7,0.05970149253731343
8,0.014925373134328358
9,0.0
10,0.014925373134328358
11,0.014925373134328358
12,0.0
13,0.029850746268656716
14,0.0
15,0.029850746268656716
16,0.014925373134328358
17,0.0
18,0.0
19,0.0
20,0.0
21,0.014925373134328358
22,0.014925373134328358
23,0.0
24,0.0
25,0.0
26,0.014925373134328358
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
