bin,bin_min,bin_max
0,0,19
1,20,39
2,40,59
3,60,79
4,80,99
5,100,119
6,120,139
7,140,159
8,160,179
9,180,199
10,200,219
11,220,239
12,240,259
13,260,279
14,280,299
15,300,319
16,320,339
17,340,359
18,360,379
19,380,399
20,400,419
21,420,439
22,440,459
23,460,479
24,480,499
25,500,519
26,520,539
27,540,559
28,560,579
29,580,599
30,600,619
31,620,639
32,640,659
33,660,679
34,680,699
