age,percent
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.3855433226339611
16,0.3855433226339611
17,0.3855433226339611
18,0.3855433226339611
19,0.3855433226339611
20,0.6991164802588558
21,0.6991164802588558
22,0.6991164802588558
23,0.6991164802588558
24,0.6991164802588558
25,0.8067586836298032
26,0.8067586836298032
27,0.8067586836298032
28,0.8067586836298032
29,0.8067586836298032
30,0.8439911996286215
31,0.8439911996286215
32,0.8439911996286215
33,0.8439911996286215
34,0.8439911996286215
35,0.8618201482356
36,0.8618201482356
37,0.8618201482356
38,0.8618201482356
39,0.8618201482356
40,0.8721669407894737
41,0.8721669407894737
42,0.8721669407894737
43,0.8721669407894737
44,0.8721669407894737
45,0.8749132248986691
46,0.8749132248986691
47,0.8749132248986691
48,0.8749132248986691
49,0.8749132248986691
50,0.874176147205347
51,0.874176147205347
52,0.874176147205347
53,0.874176147205347
54,0.874176147205347
55,0.8695983657032266
56,0.8695983657032266
57,0.8695983657032266
58,0.8695983657032266
59,0.8695983657032266
60,0.8597127508322053
61,0.8597127508322053
62,0.8597127508322053
63,0.8597127508322053
64,0.8597127508322053
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
