,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41005022101,"Census Tract 221.01, Clackamas, OR",2558.0,556.0,990.0,347.0,393.0,79.0,159.0,34.0
14000US41005022103,"Census Tract 221.03, Clackamas, OR",2738.0,537.0,854.0,659.0,351.0,145.0,150.0,42.0
14000US41005022105,"Census Tract 221.05, Clackamas, OR",2251.0,440.0,791.0,463.0,315.0,88.0,75.0,79.0
14000US41005022107,"Census Tract 221.07, Clackamas, OR",1822.0,658.0,408.0,358.0,278.0,80.0,40.0,0.0
14000US41005022108,"Census Tract 221.08, Clackamas, OR",1381.0,475.0,439.0,152.0,193.0,92.0,30.0,0.0
14000US41005022201,"Census Tract 222.01, Clackamas, OR",2726.0,1382.0,693.0,350.0,82.0,140.0,46.0,33.0
14000US41005022205,"Census Tract 222.05, Clackamas, OR",1424.0,318.0,551.0,172.0,248.0,100.0,27.0,8.0
14000US41005022206,"Census Tract 222.06, Clackamas, OR",2491.0,447.0,965.0,389.0,431.0,250.0,9.0,0.0
14000US41005022207,"Census Tract 222.07, Clackamas, OR",1971.0,170.0,626.0,434.0,394.0,234.0,29.0,84.0
14000US41005022208,"Census Tract 222.08, Clackamas, OR",2391.0,268.0,807.0,430.0,622.0,178.0,68.0,18.0
14000US41005022301,"Census Tract 223.01, Clackamas, OR",1536.0,229.0,620.0,279.0,244.0,129.0,17.0,18.0
14000US41005022302,"Census Tract 223.02, Clackamas, OR",2071.0,345.0,821.0,261.0,430.0,133.0,53.0,28.0
14000US41005022400,"Census Tract 224, Clackamas, OR",1706.0,609.0,470.0,341.0,225.0,44.0,17.0,0.0
14000US41005022500,"Census Tract 225, Clackamas, OR",2983.0,698.0,1179.0,472.0,283.0,252.0,64.0,35.0
14000US41005022602,"Census Tract 226.02, Clackamas, OR",1661.0,219.0,710.0,283.0,339.0,72.0,26.0,12.0
14000US41005022603,"Census Tract 226.03, Clackamas, OR",1438.0,244.0,574.0,210.0,255.0,64.0,52.0,39.0
14000US41005022605,"Census Tract 226.05, Clackamas, OR",2649.0,575.0,825.0,456.0,506.0,189.0,8.0,90.0
14000US41005022606,"Census Tract 226.06, Clackamas, OR",1818.0,307.0,688.0,316.0,300.0,169.0,7.0,31.0
14000US41005022702,"Census Tract 227.02, Clackamas, OR",2674.0,477.0,1265.0,367.0,402.0,143.0,20.0,0.0
14000US41005022707,"Census Tract 227.07, Clackamas, OR",2413.0,579.0,862.0,409.0,399.0,138.0,26.0,0.0
14000US41005022708,"Census Tract 227.08, Clackamas, OR",1518.0,279.0,518.0,245.0,213.0,199.0,36.0,28.0
14000US41005022710,"Census Tract 227.10, Clackamas, OR",1131.0,401.0,337.0,141.0,169.0,49.0,18.0,16.0
14000US41005022800,"Census Tract 228, Clackamas, OR",1995.0,750.0,982.0,90.0,115.0,56.0,2.0,0.0
14000US41005022901,"Census Tract 229.01, Clackamas, OR",1350.0,209.0,510.0,222.0,287.0,77.0,27.0,18.0
14000US41005022904,"Census Tract 229.04, Clackamas, OR",1376.0,425.0,288.0,291.0,183.0,82.0,97.0,10.0
14000US41005022905,"Census Tract 229.05, Clackamas, OR",1625.0,389.0,563.0,261.0,202.0,134.0,20.0,56.0
14000US41005022906,"Census Tract 229.06, Clackamas, OR",1226.0,397.0,372.0,193.0,144.0,86.0,34.0,0.0
14000US41005022907,"Census Tract 229.07, Clackamas, OR",1492.0,298.0,479.0,269.0,261.0,111.0,10.0,64.0
14000US41005023001,"Census Tract 230.01, Clackamas, OR",1251.0,219.0,559.0,137.0,236.0,34.0,10.0,56.0
14000US41005023002,"Census Tract 230.02, Clackamas, OR",1440.0,278.0,576.0,161.0,273.0,93.0,25.0,34.0
14000US41005023100,"Census Tract 231, Clackamas, OR",2356.0,336.0,1129.0,450.0,324.0,117.0,0.0,0.0
14000US41005023201,"Census Tract 232.01, Clackamas, OR",1542.0,268.0,674.0,216.0,246.0,53.0,27.0,58.0
14000US41005023202,"Census Tract 232.02, Clackamas, OR",2618.0,299.0,936.0,413.0,636.0,224.0,34.0,76.0
14000US41005023300,"Census Tract 233, Clackamas, OR",1850.0,287.0,752.0,324.0,232.0,172.0,55.0,28.0
14000US41005023401,"Census Tract 234.01, Clackamas, OR",1804.0,261.0,822.0,269.0,245.0,110.0,61.0,36.0
14000US41005023403,"Census Tract 234.03, Clackamas, OR",1973.0,420.0,612.0,340.0,387.0,142.0,38.0,34.0
14000US41005023404,"Census Tract 234.04, Clackamas, OR",2332.0,658.0,828.0,280.0,275.0,198.0,37.0,56.0
14000US41005023500,"Census Tract 235, Clackamas, OR",2052.0,208.0,1109.0,225.0,154.0,301.0,44.0,11.0
14000US41005023600,"Census Tract 236, Clackamas, OR",1414.0,275.0,653.0,200.0,141.0,88.0,33.0,24.0
14000US41005023700,"Census Tract 237, Clackamas, OR",1773.0,243.0,722.0,265.0,265.0,142.0,105.0,31.0
14000US41005023800,"Census Tract 238, Clackamas, OR",2296.0,361.0,1014.0,317.0,330.0,201.0,32.0,41.0
14000US41005023901,"Census Tract 239.01, Clackamas, OR",1855.0,361.0,610.0,244.0,380.0,174.0,73.0,13.0
14000US41005023902,"Census Tract 239.02, Clackamas, OR",1892.0,505.0,547.0,244.0,282.0,159.0,58.0,97.0
14000US41005024000,"Census Tract 240, Clackamas, OR",966.0,150.0,409.0,157.0,178.0,49.0,23.0,0.0
14000US41005024100,"Census Tract 241, Clackamas, OR",1787.0,373.0,666.0,242.0,214.0,152.0,85.0,55.0
14000US41005024200,"Census Tract 242, Clackamas, OR",2409.0,472.0,942.0,366.0,455.0,75.0,45.0,54.0
14000US41005024302,"Census Tract 243.02, Clackamas, OR",1959.0,342.0,983.0,265.0,160.0,121.0,57.0,31.0
14000US41005024303,"Census Tract 243.03, Clackamas, OR",1164.0,238.0,596.0,74.0,161.0,56.0,39.0,0.0
14000US41005024304,"Census Tract 243.04, Clackamas, OR",984.0,361.0,321.0,142.0,86.0,41.0,27.0,6.0
14000US41005024400,"Census Tract 244, Clackamas, OR",3275.0,860.0,1334.0,429.0,394.0,210.0,7.0,41.0
14000US41005980000,"Census Tract 9800, Clackamas, OR",22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41007950100,"Census Tract 9501, Clatsop, OR",1441.0,560.0,540.0,85.0,120.0,101.0,14.0,21.0
14000US41007950200,"Census Tract 9502, Clatsop, OR",1831.0,886.0,589.0,236.0,81.0,39.0,0.0,0.0
14000US41007950300,"Census Tract 9503, Clatsop, OR",1273.0,454.0,497.0,128.0,104.0,39.0,51.0,0.0
14000US41007950400,"Census Tract 9504, Clatsop, OR",1421.0,275.0,612.0,207.0,105.0,160.0,22.0,40.0
14000US41007950500,"Census Tract 9505, Clatsop, OR",1854.0,484.0,659.0,319.0,270.0,83.0,15.0,24.0
