,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA, CA",52714.0,31985.0,17897.0,6999.0,3903.0,1776.0,1018.0,392.0,20729.0,16546.0,3819.0,364.0,0.0,0.0,0.0,0.0,0,16546.0,21716.0,7363.0,3903.0,1776.0,1018.0,392.0
79500US1600300,"Central Idaho--Lewiston City & Nez Perce Reservation PUMA, ID",42156.0,26891.0,15286.0,3462.0,4248.0,2787.0,664.0,444.0,15265.0,13497.0,1642.0,93.0,33.0,0.0,0.0,0.0,0,13497.0,16928.0,3555.0,4281.0,2787.0,664.0,444.0
79500US1600400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA, ID",46682.0,33795.0,15618.0,7082.0,4410.0,3382.0,2300.0,1003.0,12887.0,10478.0,2130.0,103.0,0.0,176.0,0.0,0.0,0,10478.0,17748.0,7185.0,4410.0,3558.0,2300.0,1003.0
79500US1600500,"Canyon (South) & Owyhee Counties--Caldwell & Nampa (South & West) Cities PUMA, ID",42246.0,31161.0,11426.0,6161.0,6916.0,3517.0,1774.0,1367.0,11085.0,8602.0,2096.0,20.0,0.0,367.0,0.0,0.0,0,8602.0,13522.0,6181.0,6916.0,3884.0,1774.0,1367.0
79500US3200103,"Washoe County (North)--Sparks City PUMA, NV",55143.0,39232.0,15054.0,8491.0,7852.0,4755.0,1713.0,1367.0,15911.0,13337.0,2322.0,252.0,0.0,0.0,0.0,0.0,0,13337.0,17376.0,8743.0,7852.0,4755.0,1713.0,1367.0
79500US3200300,"Rural Nevada PUMA, NV",66166.0,42656.0,19623.0,10901.0,6277.0,2455.0,2177.0,1223.0,23510.0,19854.0,3387.0,238.0,31.0,0.0,0.0,0.0,0,19854.0,23010.0,11139.0,6308.0,2455.0,2177.0,1223.0
79500US4100100,"Umatilla, Union, Baker & Wallowa Counties PUMA, OR",47148.0,30881.0,14308.0,6561.0,4249.0,2800.0,1879.0,1084.0,16267.0,12487.0,3024.0,485.0,271.0,0.0,0.0,0.0,0,12487.0,17332.0,7046.0,4520.0,2800.0,1879.0,1084.0
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",46796.0,30916.0,14484.0,6523.0,5606.0,2499.0,791.0,1013.0,15880.0,12623.0,2830.0,330.0,53.0,0.0,0.0,44.0,0,12623.0,17314.0,6853.0,5659.0,2499.0,791.0,1057.0
79500US4100300,"Klamath, Malheur, Lake & Harney Counties PUMA, OR",43584.0,27125.0,14039.0,4937.0,4087.0,2184.0,1394.0,484.0,16459.0,13624.0,2200.0,342.0,119.0,174.0,0.0,0.0,0,13624.0,16239.0,5279.0,4206.0,2358.0,1394.0,484.0
79500US4100400,"Deschutes County PUMA, OR",79950.0,51474.0,27624.0,12010.0,7799.0,2795.0,647.0,599.0,28476.0,20745.0,6239.0,857.0,527.0,108.0,0.0,0.0,0,20745.0,33863.0,12867.0,8326.0,2903.0,647.0,599.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",68730.0,42309.0,24013.0,7049.0,7632.0,2217.0,968.0,430.0,26421.0,20088.0,5802.0,329.0,115.0,87.0,0.0,0.0,0,20088.0,29815.0,7378.0,7747.0,2304.0,968.0,430.0
79500US4100600,"Linn & Benton Counties PUMA, OR",83984.0,54026.0,25658.0,10796.0,9243.0,5206.0,2315.0,808.0,29958.0,21267.0,5940.0,1625.0,612.0,407.0,40.0,67.0,0,21267.0,31598.0,12421.0,9855.0,5613.0,2355.0,875.0
79500US4100703,"Lane County (West Central)--Eugene City (West & South) PUMA, OR",63304.0,32947.0,15861.0,7753.0,5519.0,2396.0,730.0,688.0,30357.0,19680.0,8156.0,1351.0,735.0,181.0,88.0,166.0,0,19680.0,24017.0,9104.0,6254.0,2577.0,818.0,854.0
79500US4100704,"Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA, OR",48346.0,28211.0,12661.0,7247.0,4705.0,2364.0,1183.0,51.0,20135.0,14835.0,3993.0,1064.0,160.0,83.0,0.0,0.0,0,14835.0,16654.0,8311.0,4865.0,2447.0,1183.0,51.0
79500US4100705,"Lane County (Outside Eugene & Springfield Cities) PUMA, OR",44422.0,30020.0,16105.0,5306.0,4416.0,2408.0,643.0,1142.0,14402.0,10352.0,2850.0,831.0,369.0,0.0,0.0,0.0,0,10352.0,18955.0,6137.0,4785.0,2408.0,643.0,1142.0
