Age,Percent
16,0.322
17,0.322
18,0.322
19,0.322
20,0.693
21,0.693
22,0.693
23,0.693
24,0.693
25,0.731
26,0.731
27,0.731
28,0.731
29,0.731
30,0.760
31,0.760
32,0.760
33,0.760
34,0.760
35,0.758
36,0.758
37,0.758
38,0.758
39,0.758
40,0.758
41,0.758
42,0.758
43,0.758
44,0.758
45,0.718
46,0.718
47,0.718
48,0.718
49,0.718
50,0.718
51,0.718
52,0.718
53,0.718
54,0.718
55,0.712
56,0.712
57,0.712
58,0.712
59,0.712
60,0.526
61,0.526
62,0.526
63,0.526
64,0.526
65,0.227
66,0.227
67,0.227
68,0.227
69,0.227
70,0.227
71,0.227
72,0.227
73,0.227
74,0.227
75,0.035
76,0.035
77,0.035
78,0.035
79,0.035
80,0.035
81,0.035
82,0.035
83,0.035
84,0.035
85,0.035
86,0.035
87,0.035
88,0.035
89,0.035
90,0.035
91,0.035
92,0.035
93,0.035
94,0.035
95,0.035
96,0.035
97,0.035
98,0.035
99,0.035
100,0.035
