Age,Percent
0,0.000
1,0.000
2,0.000
3,0.457
4,0.457
5,0.946
6,0.946
7,0.946
8,0.946
9,0.946
10,0.980
11,0.980
12,0.980
13,0.980
14,0.980
15,0.983
16,0.983
17,0.983
18,0.707
19,0.707
20,0.343
21,0.343
22,0.343
23,0.343
24,0.343
25,0.110
26,0.110
27,0.110
28,0.110
29,0.110
30,0.110
31,0.110
32,0.110
33,0.110
34,0.110
35,0.026
36,0.026
37,0.026
38,0.026
39,0.026
40,0.026
41,0.026
42,0.026
43,0.026
44,0.026
45,0.026
46,0.026
47,0.026
48,0.026
49,0.026
50,0.026
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
