Age,Percent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.129
11,0.129
12,0.129
13,0.129
14,0.129
15,0.477
16,0.477
17,0.477
18,0.477
19,0.477
20,0.610
21,0.610
22,0.610
23,0.610
24,0.610
25,0.564
26,0.564
27,0.564
28,0.564
29,0.564
30,0.516
31,0.516
32,0.516
33,0.516
34,0.516
35,0.511
36,0.511
37,0.511
38,0.511
39,0.511
40,0.418
41,0.418
42,0.418
43,0.418
44,0.418
45,0.366
46,0.366
47,0.366
48,0.366
49,0.366
50,0.290
51,0.290
52,0.290
53,0.290
54,0.290
55,0.184
56,0.184
57,0.184
58,0.184
59,0.184
60,0.1
61,0.1
62,0.1
63,0.1
64,0.1
65,0.063
66,0.063
67,0.063
68,0.063
69,0.063
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
