Age,Percent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10, 0.166
11, 0.166
12, 0.166
13, 0.166
14, 0.166
15,0.512
16,0.512
17,0.512
18,0.512
19,0.512
20,0.676
21,0.676
22,0.676
23,0.676
24,0.676
25,0.644
26,0.644
27,0.644
28,0.644
29,0.644
30,0.545
31,0.545
32,0.545
33,0.545
34,0.545
35,0.538
36,0.538
37,0.538
38,0.538
39,0.538
40,0.435
41,0.435
42,0.435
43,0.435
44,0.435
45,0.389
46,0.389
47,0.389
48,0.389
49,0.389
50,0.324
51,0.324
52,0.324
53,0.324
54,0.324
55,0.246
56,0.246
57,0.246
58,0.246
59,0.246
60,0.152
61,0.152
62,0.152
63,0.152
64,0.152
65,0.160
66,0.160
67,0.160
68,0.160
69,0.160
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
