family_size,household_head_age_18_20,household_head_age_20_24,household_head_age_25_29,household_head_age_30_34,household_head_age_35_39,household_head_age_40_44,household_head_age_45_49,household_head_age_50_54,household_head_age_55_64,household_head_age_65_74,household_head_age_75_99
2,163,999,2316,2230,1880,1856,2390,3118,9528,9345,5584
3,115,757,1545,1907,2066,1811,2028,2175,3311,1587,588
4,135,442,1029,1951,2670,2547,2368,1695,1763,520,221
5,61,172,394,905,1429,1232,969,683,623,235,94
6,25,81,153,352,511,459,372,280,280,113,49
7,24,33,63,144,279,242,219,115,157,80,16
