,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
79500US3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA, NY",46189.0,12492.0,11847.0,9627.0,6738.0,2765.0,1428.0,1292.0
79500US3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA, NY",48657.0,13461.0,10929.0,10842.0,8432.0,2688.0,1648.0,657.0
79500US3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA, NY",49442.0,16693.0,10921.0,8824.0,6808.0,3710.0,1495.0,991.0
79500US3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA, NY",65350.0,18678.0,18561.0,10846.0,9768.0,4196.0,1299.0,2002.0
79500US3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA, NY",54306.0,18845.0,12029.0,7944.0,7133.0,4923.0,2117.0,1315.0
79500US3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA, NY",74399.0,23388.0,21354.0,12726.0,9341.0,4474.0,1653.0,1463.0
79500US3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA, NY",49776.0,16303.0,15405.0,8769.0,5165.0,1016.0,1424.0,1694.0
79500US3603803,"NYC-Manhattan Community District 10--Central Harlem PUMA, NY",57740.0,23034.0,14849.0,9681.0,5027.0,2786.0,1933.0,430.0
79500US3603804,"NYC-Manhattan Community District 11--East Harlem PUMA, NY",48978.0,21783.0,16075.0,5582.0,3954.0,1251.0,193.0,140.0
79500US3603805,"NYC-Manhattan Community District 8--Upper East Side PUMA, NY",108394.0,54047.0,32865.0,12176.0,6384.0,2745.0,177.0,0.0
79500US3603806,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, NY",95868.0,44825.0,30352.0,10120.0,7118.0,2818.0,387.0,248.0
79500US3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA, NY",93469.0,52496.0,28358.0,6589.0,4182.0,1575.0,269.0,0.0
79500US3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",77636.0,40379.0,26504.0,5748.0,3610.0,1099.0,296.0,0.0
79500US3603809,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, NY",70671.0,33272.0,21892.0,8573.0,5281.0,868.0,344.0,441.0
79500US3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA, NY",75327.0,35488.0,23520.0,9274.0,5931.0,1026.0,88.0,0.0
79500US3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA, NY",59476.0,13969.0,16001.0,9540.0,12934.0,5012.0,1090.0,930.0
79500US3603902,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, NY",46648.0,11105.0,10631.0,8276.0,8401.0,4704.0,1907.0,1624.0
79500US3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA, NY",61317.0,18056.0,15812.0,8677.0,9737.0,4057.0,2429.0,2549.0
79500US3604001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, NY",64661.0,17663.0,25687.0,10295.0,5182.0,2249.0,1088.0,2497.0
