Age,Percent
0,0.000
1,0.000
2,0.000
3,0.439
4,0.439
5,0.941
6,0.941
7,0.941
8,0.941
9,0.941
10,0.975
11,0.975
12,0.975
13,0.975
14,0.975
15,0.970
16,0.970
17,0.970
18,0.710
19,0.710
20,0.366
21,0.366
22,0.366
23,0.366
24,0.366
25,0.110
26,0.110
27,0.110
28,0.110
29,0.110
30,0.110
31,0.110
32,0.110
33,0.110
34,0.110
35,0.024
36,0.024
37,0.024
38,0.024
39,0.024
40,0.024
41,0.024
42,0.024
43,0.024
44,0.024
45,0.024
46,0.024
47,0.024
48,0.024
49,0.024
50,0.024
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
