,name,Total,Male:_0_4,Male:_5_9,Male:_10_14,Male:_15_19,Male:_20_24,Male:_25_29,Male:_30_34,Male:_35_39,Male:_40_44,Male:_45_49,Male:_50_54,Male:_55_59,Male:_60_64,Male:_65_69,Male:_70_74,Male:_75_79,Male:_80_84,Male:_85up,Female:_0_4,Female:_5_9,Female:_10_14,Female:_15_19,Female:_20_24,Female:_25_29,Female:_30_34,Female:_35_39,Female:_40_44,Female:_45_49,Female:_50_54,Female:_55_59,Female:_60_64,Female:_65_69,Female:_70_74,Female:_75_79,Female:_80_84,Female:_85up
79500US5311601,"Seattle City (Northwest) PUMA, WA",165567.0,5193.0,3437.0,3809.0,2732.0,4865.0,10027.0,10380.0,9344.0,4991.0,4479.0,4512.0,4375.0,3668.0,4506.0,2315.0,1621.0,330.0,603.0,4430.0,3111.0,2642.0,2120.0,6505.0,11846.0,9625.0,7665.0,5951.0,6113.0,4981.0,3627.0,3762.0,4449.0,3298.0,1878.0,353.0,2024.0
79500US5311602,"Seattle City (Northeast) PUMA, WA",146773.0,4229.0,2884.0,2864.0,7156.0,11303.0,7483.0,6666.0,4871.0,3984.0,4486.0,3801.0,3664.0,3238.0,2536.0,2038.0,2121.0,510.0,595.0,3120.0,3598.0,2643.0,6320.0,11845.0,6786.0,5708.0,4848.0,3933.0,3861.0,3190.0,2964.0,4439.0,3108.0,1806.0,1475.0,970.0,1730.0
79500US5311603,"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, WA",151927.0,2368.0,1693.0,1889.0,1642.0,6954.0,17358.0,11938.0,8503.0,5554.0,5001.0,5258.0,3959.0,4014.0,3115.0,1994.0,963.0,1446.0,1325.0,1683.0,1279.0,2049.0,1964.0,4381.0,13290.0,9630.0,4760.0,5381.0,3503.0,2803.0,3445.0,2161.0,3297.0,2324.0,1343.0,2230.0,1430.0
79500US5311604,"Seattle City (Southeast)--Capitol Hill PUMA, WA",133575.0,3250.0,3280.0,3254.0,3421.0,4278.0,6865.0,8628.0,5669.0,5713.0,3909.0,4687.0,3797.0,3120.0,2866.0,1857.0,960.0,928.0,461.0,4426.0,3303.0,3087.0,3403.0,5772.0,7749.0,6045.0,4906.0,5037.0,4820.0,3404.0,3661.0,2682.0,2360.0,2656.0,1251.0,900.0,1170.0
79500US5311605,"Seattle City (West)--Duwamish & Beacon Hill PUMA, WA",147000.0,4838.0,4036.0,3613.0,1285.0,2598.0,7857.0,7698.0,6988.0,5327.0,5285.0,4475.0,4276.0,3401.0,4209.0,2901.0,1590.0,1103.0,963.0,4786.0,3892.0,3038.0,2562.0,2727.0,5554.0,6415.0,7567.0,5878.0,4671.0,4716.0,5176.0,4283.0,4154.0,3872.0,1927.0,1916.0,1423.0
79500US5311606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",126762.0,3861.0,4071.0,2724.0,2536.0,2147.0,5644.0,5351.0,5287.0,4272.0,5040.0,3315.0,3706.0,3603.0,4168.0,2513.0,840.0,621.0,1309.0,3865.0,4749.0,2882.0,3111.0,2253.0,4433.0,6350.0,5351.0,4684.0,4017.0,4204.0,4067.0,4185.0,3757.0,3428.0,1461.0,1574.0,1383.0
79500US5311607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",149738.0,5921.0,6124.0,3752.0,4176.0,4435.0,6526.0,9161.0,7795.0,5414.0,5042.0,3914.0,4011.0,3265.0,2717.0,1832.0,837.0,546.0,589.0,4513.0,4563.0,4708.0,3817.0,3004.0,6124.0,9073.0,7183.0,5592.0,4382.0,4002.0,4154.0,4685.0,2915.0,1532.0,1760.0,826.0,848.0
79500US5311608,"King County (Northwest Central)--Greater Bellevue City PUMA, WA",150769.0,4408.0,4275.0,5006.0,4518.0,4193.0,8157.0,6819.0,5941.0,5708.0,5245.0,5018.0,4644.0,3587.0,2892.0,1882.0,1650.0,1013.0,1955.0,4073.0,4064.0,4359.0,2866.0,3823.0,6256.0,6162.0,4425.0,5884.0,5096.0,5842.0,4392.0,4261.0,3615.0,2594.0,2085.0,1852.0,2209.0
79500US5311609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",155897.0,4654.0,4632.0,6268.0,6091.0,2926.0,4478.0,4452.0,5158.0,7251.0,7440.0,6019.0,5195.0,4298.0,2379.0,2154.0,1451.0,961.0,841.0,3929.0,4844.0,6024.0,6355.0,2577.0,3691.0,4891.0,5722.0,6081.0,8787.0,5576.0,4955.0,4601.0,3026.0,2772.0,2238.0,1006.0,2174.0
79500US5311610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA, WA",143746.0,4183.0,4973.0,4019.0,3775.0,3853.0,6705.0,7255.0,6010.0,5129.0,4758.0,3582.0,5123.0,3134.0,3126.0,1839.0,1241.0,740.0,1176.0,3789.0,3995.0,3178.0,4389.0,5338.0,7002.0,6333.0,6240.0,4509.0,4380.0,4536.0,4095.0,4774.0,4238.0,2000.0,886.0,1726.0,1717.0
79500US5311611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",139635.0,4158.0,3884.0,2617.0,3801.0,4913.0,7012.0,6156.0,6358.0,5929.0,5979.0,4456.0,5086.0,4149.0,3510.0,2092.0,1863.0,674.0,665.0,3820.0,4272.0,3865.0,2776.0,2825.0,6018.0,5212.0,3949.0,4739.0,4794.0,5264.0,3891.0,4137.0,3066.0,2952.0,1428.0,1195.0,2130.0
79500US5311612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA, WA",132939.0,5632.0,3572.0,3959.0,4116.0,4045.0,4593.0,5411.0,5803.0,2661.0,4692.0,3848.0,4434.0,3731.0,2953.0,2739.0,1479.0,523.0,680.0,4513.0,5097.0,4904.0,3614.0,3904.0,6116.0,3855.0,5332.0,5010.0,3855.0,3646.0,3802.0,4368.0,2774.0,3052.0,1750.0,981.0,1495.0
79500US5311613,"King County (Southwest Central)--Kent City PUMA, WA",130727.0,4665.0,5145.0,4900.0,5012.0,4428.0,5512.0,4545.0,3839.0,4630.0,3586.0,4538.0,3948.0,3604.0,2462.0,1838.0,1483.0,439.0,792.0,4776.0,4819.0,4088.0,3354.0,3607.0,3811.0,6360.0,3227.0,4034.0,4447.0,3481.0,5296.0,3956.0,3083.0,2755.0,1271.0,1322.0,1674.0
79500US5311614,"King County (Southwest)--Auburn City & Lakeland PUMA, WA",117978.0,3123.0,4962.0,3718.0,3359.0,2953.0,4401.0,5745.0,3971.0,2520.0,3393.0,3665.0,4739.0,4547.0,2245.0,2290.0,1726.0,788.0,577.0,4819.0,4172.0,3572.0,3610.0,2538.0,4176.0,5673.0,3010.0,3168.0,3528.0,3834.0,4223.0,4098.0,2748.0,2397.0,1957.0,860.0,873.0
79500US5311615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA, WA",122173.0,3067.0,5569.0,4941.0,3401.0,2119.0,1882.0,3056.0,4990.0,3710.0,4295.0,5194.0,5359.0,5001.0,2063.0,2033.0,1428.0,1114.0,473.0,3121.0,4040.0,4704.0,3971.0,2118.0,3034.0,3828.0,3627.0,5411.0,3455.0,5238.0,5686.0,5272.0,3562.0,2249.0,1055.0,1130.0,977.0
79500US5311616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",117957.0,2807.0,4259.0,4538.0,2737.0,2163.0,3250.0,2882.0,4568.0,4508.0,5266.0,4873.0,5200.0,4029.0,2961.0,1686.0,869.0,516.0,856.0,3360.0,3170.0,4830.0,4634.0,2296.0,2825.0,2339.0,4552.0,4949.0,5702.0,4359.0,4903.0,3826.0,2454.0,2423.0,1404.0,954.0,1009.0
79500US5311701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA, WA",126804.0,3757.0,2452.0,4213.0,3835.0,2721.0,5306.0,4127.0,4543.0,4882.0,5007.0,3428.0,4602.0,4247.0,2869.0,2163.0,1396.0,1051.0,1260.0,4526.0,3051.0,3733.0,2884.0,3379.0,4547.0,3620.0,5084.0,4193.0,4950.0,4356.0,3738.0,4295.0,3280.0,3465.0,2422.0,1223.0,2199.0
79500US5311702,"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, WA",130073.0,2854.0,3593.0,4226.0,3519.0,5480.0,5526.0,5134.0,5619.0,4275.0,3980.0,4563.0,4830.0,3951.0,3058.0,2204.0,1478.0,477.0,809.0,2802.0,3635.0,4463.0,3641.0,4861.0,4828.0,4875.0,4932.0,4572.0,4880.0,3872.0,3789.0,5059.0,3571.0,2035.0,1326.0,448.0,908.0
