,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
14000US53033000100,"Census Tract 1, King, WA",7985.0,342.0,398.0,372.0,427.0,647.0,1061.0,754.0,521.0,461.0,424.0,455.0,324.0,575.0,442.0,285.0,185.0,147.0,165.0
14000US53033000200,"Census Tract 2, King, WA",8498.0,559.0,318.0,224.0,529.0,432.0,926.0,772.0,662.0,564.0,510.0,303.0,545.0,775.0,481.0,292.0,419.0,17.0,170.0
14000US53033000300,"Census Tract 3, King, WA",2991.0,127.0,186.0,121.0,144.0,288.0,286.0,351.0,279.0,174.0,180.0,168.0,303.0,87.0,133.0,76.0,42.0,33.0,13.0
14000US53033000401,"Census Tract 4.01, King, WA",6560.0,315.0,24.0,99.0,310.0,591.0,548.0,434.0,773.0,333.0,424.0,284.0,400.0,545.0,333.0,316.0,304.0,192.0,335.0
14000US53033000402,"Census Tract 4.02, King, WA",5419.0,76.0,235.0,290.0,107.0,193.0,493.0,342.0,466.0,454.0,594.0,342.0,295.0,265.0,280.0,107.0,220.0,118.0,542.0
14000US53033000500,"Census Tract 5, King, WA",3143.0,186.0,125.0,172.0,206.0,56.0,67.0,63.0,121.0,193.0,257.0,304.0,293.0,352.0,304.0,162.0,159.0,41.0,82.0
14000US53033000600,"Census Tract 6, King, WA",8124.0,529.0,416.0,409.0,283.0,577.0,808.0,602.0,1095.0,406.0,504.0,485.0,368.0,464.0,354.0,318.0,170.0,75.0,261.0
14000US53033000700,"Census Tract 7, King, WA",5217.0,299.0,235.0,190.0,143.0,579.0,367.0,616.0,394.0,387.0,426.0,383.0,190.0,387.0,256.0,108.0,166.0,36.0,55.0
14000US53033000800,"Census Tract 8, King, WA",2710.0,92.0,123.0,120.0,91.0,147.0,136.0,151.0,115.0,126.0,274.0,138.0,262.0,337.0,238.0,175.0,61.0,37.0,87.0
14000US53033000900,"Census Tract 9, King, WA",2009.0,106.0,76.0,83.0,101.0,65.0,82.0,107.0,131.0,75.0,152.0,119.0,257.0,214.0,175.0,117.0,65.0,37.0,47.0
14000US53033001000,"Census Tract 10, King, WA",2055.0,141.0,190.0,94.0,70.0,150.0,176.0,117.0,148.0,124.0,136.0,112.0,148.0,201.0,79.0,72.0,30.0,11.0,56.0
14000US53033001100,"Census Tract 11, King, WA",2752.0,159.0,132.0,103.0,179.0,150.0,149.0,214.0,298.0,175.0,200.0,170.0,173.0,246.0,148.0,98.0,53.0,60.0,45.0
14000US53033001200,"Census Tract 12, King, WA",7124.0,457.0,261.0,225.0,267.0,587.0,1070.0,955.0,387.0,545.0,305.0,274.0,360.0,276.0,361.0,197.0,119.0,79.0,399.0
14000US53033001300,"Census Tract 13, King, WA",4702.0,276.0,143.0,54.0,172.0,402.0,600.0,532.0,480.0,482.0,204.0,372.0,151.0,221.0,270.0,164.0,116.0,30.0,33.0
14000US53033001400,"Census Tract 14, King, WA",5674.0,275.0,274.0,278.0,194.0,243.0,519.0,916.0,542.0,455.0,275.0,411.0,346.0,311.0,342.0,58.0,104.0,56.0,75.0
14000US53033001500,"Census Tract 15, King, WA",2752.0,110.0,136.0,153.0,212.0,52.0,127.0,145.0,150.0,238.0,300.0,222.0,191.0,255.0,89.0,196.0,93.0,35.0,48.0
14000US53033001600,"Census Tract 16, King, WA",4758.0,325.0,432.0,124.0,189.0,267.0,95.0,391.0,310.0,426.0,374.0,296.0,376.0,308.0,304.0,260.0,104.0,43.0,134.0
14000US53033001701,"Census Tract 17.01, King, WA",4024.0,254.0,126.0,97.0,98.0,236.0,834.0,408.0,458.0,402.0,186.0,185.0,170.0,227.0,218.0,67.0,58.0,0.0,0.0
14000US53033001702,"Census Tract 17.02, King, WA",5018.0,336.0,171.0,159.0,105.0,336.0,722.0,444.0,601.0,407.0,216.0,214.0,318.0,303.0,257.0,170.0,64.0,56.0,139.0
