age_bracket,fraction_male,fraction_female
0_4,0.5090804410678749,0.49091955893212513
5_9,0.48919549719765654,0.5108045028023435
10_14,0.5186025638854549,0.48139743611454505
15_19,0.4644718074112887,0.5355281925887113
20_24,0.45755062210295194,0.5424493778970481
25_29,0.46651187804449223,0.5334881219555078
30_34,0.48999272408098216,0.5100072759190178
35_39,0.49921827835482424,0.5007817216451758
40_44,0.49560437473892077,0.5043956252610793
45_49,0.5017457561728395,0.4982542438271605
50_54,0.49853214307111615,0.5014678569288838
55_59,0.4821219786994324,0.5178780213005676
60_64,0.45983397823858185,0.5401660217614181
65_69,0.43857620472084663,0.5614237952791533
70_74,0.40597539543058,0.5940246045694201
75_79,0.4014518158935635,0.5985481841064365
80_84,0.402760974096479,0.5972390259035211
85_100,0.3559721368572014,0.6440278631427986
