age_bracket,fraction_male,fraction_female
0_4,0.5082614417312472,0.49173855826875273
5_9,0.5411723778048356,0.4588276221951644
10_14,0.48767829639054444,0.5123217036094556
15_19,0.5146687589547656,0.48533124104523434
20_24,0.5029101672930455,0.49708983270695445
25_29,0.5060778813380388,0.49392211866196123
30_34,0.49991693524271524,0.5000830647572848
35_39,0.4737754813137033,0.5262245186862967
40_44,0.49073406290175914,0.5092659370982409
45_49,0.4790692022601616,0.5209307977398384
50_54,0.4800737157337019,0.519926284266298
55_59,0.4750128332880394,0.5249871667119607
60_64,0.4729435844953307,0.5270564155046693
65_69,0.47492827993050224,0.5250717200694978
70_74,0.4288747346072187,0.5711252653927813
75_79,0.42069609904227984,0.5793039009577201
80_84,0.4230993810580404,0.5769006189419595
85_100,0.3080331780479491,0.691966821952051
