age_group_start,age_group_end,percent
0,4,11.7
5,9,12.0
10,14,10.9
15,19,10.7
20,24,10.3
25,29,8.6
30,34,7.1
35,39,6.6
40,44,4.6
45,49,4.2
50,54,3.8
55,59,3.1
60,64,2.5
65,69,1.6
70,74,1.2
75,79,0.5
80,100,0.7
