household_size,percent
1,0.015
2,0.046
3,0.079
4,0.124
5,0.152
6,0.15
7,0.127
8,0.09
9,0.036166666666666666
10,0.036166666666666666
11,0.036166666666666666
12,0.036166666666666666
13,0.036166666666666666
14,0.036166666666666666
