age_group_start,age_group_end,percent
0,4,13.3
5,9,13.8
10,14,11.8
15,19,10.9
20,24,8.9
25,29,7.8
30,34,6.2
35,39,5.7
40,44,4.1
45,49,4.0
50,54,3.2
55,59,2.9
60,64,2.6
65,69,1.8
70,74,1.7
75,79,0.6
80,100,0.8
