Age,Percent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.0823
11,0.0823
12,0.0823
13,0.0823
14,0.0823
15,0.3257
16,0.3257
17,0.3257
18,0.3257
19,0.3257
20,0.5247
21,0.5247
22,0.5247
23,0.5247
24,0.5247
25,0.5710
26,0.5710
27,0.5710
28,0.5710
29,0.5710
30,0.6014
31,0.6014
32,0.6014
33,0.6014
34,0.6014
35,0.6172
36,0.6172
37,0.6172
38,0.6172
39,0.6172
40,0.6309
41,0.6309
42,0.6309
43,0.6309
44,0.6309
45,0.6146
46,0.6146
47,0.6146
48,0.6146
49,0.6146
50,0.6311
51,0.6311
52,0.6311
53,0.6311
54,0.6311
55,0.5885
56,0.5885
57,0.5885
58,0.5885
59,0.5885
60,0.4521
61,0.4521
62,0.4521
63,0.4521
64,0.4521
65,0.2639
66,0.2639
67,0.2639
68,0.2639
69,0.2639
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
