age_group_start,age_group_end,percent
0,4,13.1
5,9,13.5
10,14,11.8
15,19,10.9
20,24,9.4
25,29,8.2
30,34,6.4
35,39,5.9
40,44,4.0
45,49,3.7
50,54,3.4
55,59,3.1
60,64,2.4
65,69,1.7
70,74,1.4
75,79,0.6
80,100,0.7
