age_group_start,age_group_end,percent
0,0,0.0214
1,1,0.0240
2,4,0.0914
5,9,0.1474
10,14,0.1242
15,19,0.1065
20,24,0.0866
25,29,0.0747
30,34,0.0621
35,39,0.0591
40,44,0.0468
45,49,0.0423
50,54,0.0336
55,59,0.0261
60,64,0.0206
65,100,0.0332
