age_group_start,age_group_end,percent
0,0,0.0252
1,1,0.0253
2,4,0.1008
5,9,0.1605
10,14,0.1314
15,19,0.1119
20,24,0.0888
25,29,0.0715
30,34,0.0547
35,39,0.0477
40,44,0.0394
45,49,0.0366
50,54,0.0276
55,59,0.0239
60,64,0.0207
65,100,0.0339
