,name,Total,Male:_0_4,Male:_5_9,Male:_10_14,Male:_15_19,Male:_20_24,Male:_25_29,Male:_30_34,Male:_35_39,Male:_40_44,Male:_45_49,Male:_50_54,Male:_55_59,Male:_60_64,Male:_65_69,Male:_70_74,Male:_75_79,Male:_80_84,Male:_85up,Female:_0_4,Female:_5_9,Female:_10_14,Female:_15_19,Female:_20_24,Female:_25_29,Female:_30_34,Female:_35_39,Female:_40_44,Female:_45_49,Female:_50_54,Female:_55_59,Female:_60_64,Female:_65_69,Female:_70_74,Female:_75_79,Female:_80_84,Female:_85up
79500US4100200,"North Central Oregon--The Dalles City PUMA, OR",121443.0,3954.0,3787.0,3498.0,4041.0,4146.0,3324.0,3594.0,3122.0,3193.0,3902.0,3576.0,3567.0,4718.0,3768.0,3218.0,1962.0,1806.0,950.0,4030.0,3807.0,4099.0,3818.0,3104.0,3180.0,3601.0,3261.0,3583.0,3630.0,3887.0,4559.0,4063.0,4102.0,3623.0,2316.0,1124.0,1530.0
79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA, OR",168316.0,3871.0,4868.0,4700.0,4583.0,3509.0,5128.0,4408.0,4952.0,4042.0,5042.0,4850.0,5968.0,7178.0,7309.0,4654.0,4289.0,1353.0,1054.0,3517.0,3983.0,4904.0,5192.0,4925.0,4060.0,4493.0,5354.0,3471.0,4997.0,5585.0,7353.0,7394.0,8005.0,4875.0,3600.0,1896.0,2954.0
79500US4101301,"Portland City (North & Northeast) PUMA, OR",123898.0,3513.0,3103.0,3316.0,2648.0,3641.0,6054.0,7797.0,5751.0,6382.0,4590.0,3534.0,1551.0,3047.0,2370.0,1544.0,1225.0,485.0,327.0,3174.0,3636.0,3385.0,2918.0,2773.0,6892.0,7363.0,6963.0,6010.0,4388.0,2599.0,2646.0,3283.0,2516.0,2218.0,1256.0,612.0,388.0
79500US4101302,"Portland City (East) PUMA, OR",127754.0,4252.0,4897.0,4323.0,4455.0,2239.0,4751.0,5212.0,5422.0,4184.0,4226.0,3484.0,4461.0,3315.0,3430.0,1871.0,889.0,1076.0,630.0,4010.0,3837.0,3393.0,3424.0,4650.0,5702.0,5601.0,4681.0,3429.0,3117.0,4528.0,3993.0,3148.0,3305.0,2441.0,2198.0,1730.0,1450.0
79500US4101303,"Portland City (Southeast) PUMA, OR",117950.0,3239.0,2734.0,2337.0,2745.0,3380.0,5531.0,5385.0,4819.0,5028.0,5678.0,4390.0,3490.0,2570.0,2317.0,1739.0,1358.0,488.0,189.0,3435.0,3114.0,3277.0,2863.0,2994.0,5733.0,5192.0,6543.0,4918.0,4801.0,3820.0,4282.0,2009.0,2743.0,1999.0,794.0,678.0,1338.0
79500US4101305,"Portland City (Central East) PUMA, OR",124997.0,3095.0,1618.0,3072.0,2452.0,3207.0,6463.0,7498.0,5791.0,5411.0,4444.0,4671.0,2950.0,2912.0,3730.0,2143.0,975.0,335.0,335.0,2733.0,2561.0,2453.0,1266.0,3011.0,7366.0,7915.0,6037.0,5060.0,5165.0,3172.0,3825.0,4110.0,3567.0,2536.0,1232.0,536.0,1350.0
79500US4101314,"Portland City (Northwest & Southwest) PUMA, OR",154501.0,3119.0,4329.0,3349.0,3979.0,5193.0,7388.0,5777.0,7511.0,5206.0,5708.0,4891.0,5176.0,4879.0,4285.0,2977.0,2210.0,1076.0,922.0,3142.0,3504.0,2266.0,4119.0,5755.0,6948.0,6253.0,6075.0,4845.0,5638.0,4981.0,5329.0,4489.0,4441.0,3303.0,2052.0,1310.0,2076.0
79500US4101316,"Multnomah County (East)--Gresham & Troutdale Cities PUMA, OR",162936.0,5993.0,3954.0,5882.0,5242.0,5483.0,6902.0,6908.0,6254.0,5969.0,4983.0,4104.0,6400.0,5106.0,3509.0,2156.0,1163.0,1415.0,825.0,4952.0,5248.0,4712.0,5123.0,4166.0,5538.0,6397.0,6525.0,5345.0,4866.0,4660.0,6311.0,4046.0,4335.0,2946.0,2200.0,1506.0,1812.0
79500US4101317,"Clackamas County (South & East)--Damascus City PUMA, OR",108724.0,2627.0,2703.0,3348.0,4062.0,2863.0,2995.0,3580.0,3078.0,3100.0,3584.0,3502.0,5063.0,4743.0,4042.0,3026.0,1249.0,1094.0,785.0,2625.0,3501.0,2529.0,2940.0,2958.0,2479.0,3149.0,2554.0,3423.0,3376.0,3407.0,3980.0,5305.0,4672.0,2404.0,2033.0,962.0,983.0
79500US4101318,"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",187899.0,6167.0,6396.0,5924.0,4572.0,5409.0,6694.0,6464.0,6953.0,6646.0,6257.0,5248.0,4850.0,5650.0,5406.0,3842.0,1731.0,2050.0,913.0,4665.0,4801.0,6951.0,5413.0,3800.0,8107.0,5930.0,8235.0,6962.0,5887.0,6167.0,5885.0,5291.0,6296.0,4331.0,1850.0,2919.0,3237.0
79500US4101319,"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",119452.0,3131.0,3583.0,4771.0,3391.0,3870.0,4010.0,3135.0,3310.0,3552.0,4279.0,4329.0,3985.0,3964.0,2443.0,2815.0,2236.0,1427.0,869.0,3253.0,2924.0,3684.0,3947.0,3178.0,2618.0,2893.0,3777.0,3285.0,6099.0,3600.0,5999.0,4061.0,2964.0,3257.0,2184.0,990.0,1639.0
79500US4101320,"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA, OR",120035.0,2977.0,3080.0,4618.0,5132.0,3368.0,4537.0,3601.0,4820.0,4297.0,3703.0,4746.0,3762.0,3968.0,3087.0,2308.0,1311.0,838.0,574.0,2300.0,2549.0,3162.0,3135.0,2946.0,4500.0,4511.0,4519.0,4033.0,5062.0,4081.0,3307.0,4439.0,3221.0,3149.0,1717.0,1381.0,1296.0
79500US4101321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",118581.0,2658.0,4212.0,3714.0,4305.0,3655.0,2634.0,3830.0,3962.0,4148.0,5352.0,3447.0,3392.0,4005.0,2680.0,2353.0,1260.0,566.0,1069.0,2938.0,4867.0,3556.0,5766.0,3062.0,2372.0,4164.0,4414.0,5293.0,3918.0,4014.0,3501.0,3696.0,3093.0,2092.0,2116.0,617.0,1860.0
79500US4101324,"Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA, OR",115059.0,4366.0,3368.0,3565.0,2987.0,4092.0,5377.0,4906.0,4428.0,4718.0,2951.0,3180.0,2922.0,2485.0,2770.0,1444.0,1763.0,536.0,1130.0,4015.0,3251.0,3026.0,2916.0,3768.0,5141.0,4556.0,5345.0,3364.0,4132.0,2939.0,2974.0,4006.0,2999.0,1394.0,1892.0,1444.0,909.0
79500US5311000,"Lewis, Klickitat & Skamania Counties PUMA, WA",113821.0,3218.0,2753.0,4105.0,3736.0,2633.0,3382.0,3223.0,3205.0,3824.0,3159.0,3765.0,4278.0,4407.0,4128.0,3163.0,2208.0,1456.0,817.0,2940.0,2401.0,3983.0,2898.0,2499.0,2627.0,3821.0,3756.0,3180.0,3617.0,3283.0,3765.0,5696.0,3474.0,3369.0,2354.0,1470.0,1228.0
