age_min,age_max,age_dist
0,4,0.142
5,9,0.156
10,14,0.126
15,19,0.105
20,24,0.077
25,29,0.063
30,34,0.068
35,39,0.062
40,44,0.049
45,49,0.037
50,54,0.025
55,59,0.023
60,64,0.021
65,69,0.016
70,74,0.011
75,100,0.02
