Age,Percent
0,0.000
1,0.000
2,0.000
3,0.334
4,0.334
5,0.880
6,0.880
7,0.880
8,0.880
9,0.880
10,0.952
11,0.952
12,0.952
13,0.952
14,0.952
15,1.000
16,1.000
17,1.000
18,0.575
19,0.575
20,0.237
21,0.237
22,0.237
23,0.237
24,0.237
25,0.100
26,0.100
27,0.100
28,0.100
29,0.100
30,0.100
31,0.100
32,0.100
33,0.100
34,0.100
35,0.022
36,0.022
37,0.022
38,0.022
39,0.022
40,0.022
41,0.022
42,0.022
43,0.022
44,0.022
45,0.022
46,0.022
47,0.022
48,0.022
49,0.022
50,0.022
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
