,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
14000US41005020100,"Census Tract 201, Clackamas, OR",4130.0,191.0,321.0,341.0,183.0,59.0,101.0,132.0,204.0,358.0,328.0,331.0,422.0,402.0,289.0,159.0,106.0,115.0,88.0
14000US41005020200,"Census Tract 202, Clackamas, OR",6211.0,163.0,211.0,361.0,404.0,319.0,279.0,192.0,206.0,400.0,559.0,397.0,664.0,654.0,483.0,446.0,286.0,96.0,91.0
14000US41005020302,"Census Tract 203.02, Clackamas, OR",4204.0,197.0,273.0,169.0,253.0,258.0,310.0,213.0,312.0,273.0,345.0,268.0,348.0,383.0,253.0,108.0,114.0,75.0,52.0
14000US41005020303,"Census Tract 203.03, Clackamas, OR",5683.0,217.0,219.0,278.0,256.0,319.0,580.0,432.0,357.0,221.0,397.0,482.0,318.0,420.0,324.0,431.0,115.0,82.0,235.0
14000US41005020304,"Census Tract 203.04, Clackamas, OR",5537.0,359.0,288.0,479.0,357.0,202.0,315.0,216.0,522.0,371.0,351.0,368.0,484.0,565.0,200.0,271.0,62.0,68.0,59.0
14000US41005020401,"Census Tract 204.01, Clackamas, OR",5872.0,328.0,301.0,432.0,447.0,181.0,223.0,314.0,290.0,468.0,616.0,424.0,387.0,475.0,485.0,212.0,80.0,87.0,122.0
14000US41005020403,"Census Tract 204.03, Clackamas, OR",3640.0,194.0,159.0,399.0,229.0,60.0,75.0,80.0,84.0,329.0,354.0,329.0,304.0,332.0,283.0,147.0,132.0,83.0,67.0
14000US41005020404,"Census Tract 204.04, Clackamas, OR",3750.0,137.0,152.0,434.0,208.0,118.0,8.0,155.0,234.0,253.0,294.0,275.0,327.0,291.0,362.0,153.0,106.0,145.0,98.0
14000US41005020501,"Census Tract 205.01, Clackamas, OR",7346.0,383.0,510.0,780.0,557.0,346.0,217.0,238.0,301.0,589.0,674.0,537.0,541.0,547.0,481.0,269.0,197.0,99.0,80.0
14000US41005020503,"Census Tract 205.03, Clackamas, OR",2393.0,115.0,133.0,231.0,151.0,77.0,43.0,44.0,133.0,148.0,191.0,297.0,205.0,216.0,145.0,95.0,103.0,40.0,26.0
14000US41005020504,"Census Tract 205.04, Clackamas, OR",6563.0,297.0,348.0,483.0,474.0,186.0,203.0,307.0,462.0,401.0,667.0,539.0,641.0,371.0,556.0,279.0,112.0,141.0,96.0
14000US41005020505,"Census Tract 205.05, Clackamas, OR",2562.0,35.0,101.0,145.0,233.0,113.0,38.0,56.0,64.0,127.0,116.0,99.0,265.0,229.0,147.0,148.0,160.0,154.0,332.0
14000US41005020600,"Census Tract 206, Clackamas, OR",8553.0,464.0,701.0,631.0,723.0,342.0,459.0,386.0,714.0,505.0,670.0,574.0,647.0,611.0,394.0,379.0,197.0,69.0,87.0
14000US41005020700,"Census Tract 207, Clackamas, OR",4041.0,200.0,283.0,287.0,363.0,206.0,189.0,195.0,287.0,203.0,306.0,288.0,414.0,243.0,169.0,229.0,72.0,49.0,58.0
14000US41005020800,"Census Tract 208, Clackamas, OR",4150.0,246.0,155.0,206.0,173.0,356.0,414.0,375.0,161.0,279.0,234.0,210.0,303.0,359.0,225.0,189.0,91.0,96.0,78.0
14000US41005020900,"Census Tract 209, Clackamas, OR",4217.0,185.0,198.0,280.0,228.0,148.0,318.0,289.0,523.0,335.0,176.0,219.0,301.0,367.0,299.0,154.0,41.0,78.0,78.0
14000US41005021000,"Census Tract 210, Clackamas, OR",4771.0,324.0,150.0,252.0,173.0,249.0,379.0,493.0,363.0,376.0,408.0,308.0,299.0,310.0,338.0,97.0,83.0,72.0,97.0
14000US41005021100,"Census Tract 211, Clackamas, OR",5364.0,314.0,267.0,242.0,175.0,238.0,546.0,303.0,449.0,312.0,253.0,389.0,489.0,446.0,203.0,276.0,204.0,153.0,105.0
14000US41005021200,"Census Tract 212, Clackamas, OR",3976.0,228.0,115.0,139.0,235.0,224.0,280.0,259.0,254.0,315.0,192.0,189.0,205.0,295.0,255.0,96.0,170.0,216.0,309.0
14000US41005021300,"Census Tract 213, Clackamas, OR",5627.0,378.0,166.0,167.0,271.0,306.0,553.0,434.0,278.0,243.0,348.0,544.0,451.0,517.0,482.0,213.0,127.0,73.0,76.0
14000US41005021400,"Census Tract 214, Clackamas, OR",4894.0,232.0,282.0,179.0,296.0,278.0,364.0,698.0,334.0,308.0,256.0,277.0,186.0,390.0,349.0,99.0,188.0,64.0,114.0
14000US41005021500,"Census Tract 215, Clackamas, OR",4924.0,206.0,235.0,304.0,265.0,256.0,171.0,252.0,211.0,277.0,384.0,427.0,330.0,508.0,252.0,310.0,176.0,136.0,224.0
14000US41005021601,"Census Tract 216.01, Clackamas, OR",6437.0,294.0,410.0,388.0,566.0,692.0,524.0,417.0,370.0,257.0,317.0,626.0,296.0,328.0,441.0,264.0,89.0,116.0,42.0
14000US41005021602,"Census Tract 216.02, Clackamas, OR",5310.0,261.0,323.0,367.0,330.0,272.0,440.0,517.0,388.0,319.0,363.0,344.0,230.0,315.0,219.0,273.0,153.0,126.0,70.0
14000US41005021700,"Census Tract 217, Clackamas, OR",6814.0,243.0,377.0,646.0,418.0,181.0,575.0,417.0,372.0,382.0,419.0,355.0,261.0,551.0,531.0,357.0,152.0,223.0,354.0
14000US41005021801,"Census Tract 218.01, Clackamas, OR",6075.0,326.0,318.0,285.0,317.0,325.0,211.0,294.0,400.0,381.0,417.0,367.0,415.0,608.0,592.0,353.0,97.0,188.0,181.0
14000US41005021802,"Census Tract 218.02, Clackamas, OR",4488.0,314.0,307.0,233.0,210.0,276.0,555.0,264.0,273.0,281.0,338.0,212.0,233.0,235.0,280.0,162.0,139.0,46.0,130.0
14000US41005021900,"Census Tract 219, Clackamas, OR",3701.0,293.0,371.0,359.0,147.0,189.0,365.0,291.0,277.0,120.0,158.0,198.0,285.0,257.0,149.0,103.0,11.0,72.0,56.0
14000US41005022000,"Census Tract 220, Clackamas, OR",6340.0,135.0,327.0,429.0,450.0,309.0,511.0,464.0,483.0,368.0,520.0,355.0,361.0,493.0,293.0,260.0,269.0,151.0,162.0
14000US41005022101,"Census Tract 221.01, Clackamas, OR",7186.0,326.0,371.0,537.0,557.0,279.0,421.0,485.0,317.0,571.0,237.0,423.0,524.0,707.0,624.0,233.0,240.0,205.0,129.0
14000US41005022103,"Census Tract 221.03, Clackamas, OR",7528.0,469.0,458.0,336.0,602.0,488.0,643.0,666.0,734.0,446.0,594.0,498.0,491.0,343.0,241.0,217.0,81.0,166.0,55.0
14000US41005022105,"Census Tract 221.05, Clackamas, OR",6476.0,352.0,265.0,426.0,795.0,423.0,287.0,401.0,455.0,331.0,345.0,635.0,465.0,386.0,449.0,171.0,173.0,67.0,50.0
14000US41005022107,"Census Tract 221.07, Clackamas, OR",4452.0,365.0,236.0,190.0,161.0,653.0,550.0,518.0,390.0,138.0,214.0,264.0,188.0,106.0,96.0,107.0,102.0,70.0,104.0
14000US41005022108,"Census Tract 221.08, Clackamas, OR",3282.0,220.0,225.0,179.0,243.0,191.0,157.0,306.0,288.0,163.0,197.0,270.0,169.0,170.0,156.0,112.0,162.0,36.0,38.0
14000US41005022201,"Census Tract 222.01, Clackamas, OR",5745.0,364.0,606.0,81.0,261.0,778.0,376.0,448.0,604.0,280.0,357.0,258.0,148.0,155.0,85.0,314.0,99.0,58.0,473.0
14000US41005022205,"Census Tract 222.05, Clackamas, OR",3804.0,128.0,182.0,210.0,225.0,285.0,256.0,211.0,206.0,212.0,189.0,214.0,333.0,402.0,273.0,153.0,71.0,111.0,143.0
14000US41005022206,"Census Tract 222.06, Clackamas, OR",6926.0,364.0,238.0,564.0,394.0,467.0,337.0,267.0,600.0,559.0,594.0,548.0,465.0,391.0,443.0,303.0,281.0,58.0,53.0
14000US41005022207,"Census Tract 222.07, Clackamas, OR",6565.0,312.0,483.0,789.0,427.0,490.0,235.0,294.0,481.0,576.0,565.0,533.0,418.0,243.0,228.0,179.0,123.0,134.0,55.0
14000US41005022208,"Census Tract 222.08, Clackamas, OR",7376.0,325.0,593.0,516.0,628.0,490.0,322.0,146.0,682.0,798.0,676.0,572.0,579.0,356.0,271.0,209.0,119.0,47.0,47.0
14000US41005022301,"Census Tract 223.01, Clackamas, OR",4291.0,496.0,280.0,190.0,150.0,195.0,227.0,331.0,312.0,171.0,154.0,367.0,362.0,326.0,306.0,136.0,180.0,56.0,52.0
14000US41005022302,"Census Tract 223.02, Clackamas, OR",5895.0,515.0,377.0,231.0,286.0,280.0,242.0,583.0,296.0,276.0,616.0,375.0,439.0,372.0,483.0,333.0,50.0,21.0,120.0
14000US41005022400,"Census Tract 224, Clackamas, OR",4041.0,187.0,229.0,227.0,153.0,354.0,352.0,272.0,221.0,324.0,256.0,267.0,295.0,299.0,114.0,196.0,117.0,78.0,100.0
14000US41005022500,"Census Tract 225, Clackamas, OR",7907.0,559.0,528.0,602.0,229.0,237.0,652.0,688.0,742.0,603.0,367.0,649.0,399.0,435.0,412.0,131.0,291.0,204.0,179.0
14000US41005022602,"Census Tract 226.02, Clackamas, OR",4585.0,191.0,251.0,334.0,262.0,180.0,215.0,371.0,192.0,269.0,408.0,343.0,415.0,212.0,268.0,302.0,252.0,74.0,46.0
14000US41005022603,"Census Tract 226.03, Clackamas, OR",4054.0,340.0,294.0,380.0,350.0,131.0,328.0,353.0,327.0,246.0,295.0,255.0,112.0,154.0,59.0,198.0,127.0,83.0,22.0
14000US41005022605,"Census Tract 226.05, Clackamas, OR",8124.0,569.0,297.0,577.0,515.0,619.0,525.0,389.0,614.0,816.0,655.0,417.0,346.0,493.0,503.0,401.0,99.0,124.0,165.0
14000US41005022606,"Census Tract 226.06, Clackamas, OR",5079.0,259.0,284.0,426.0,345.0,224.0,279.0,291.0,497.0,365.0,287.0,486.0,267.0,311.0,225.0,221.0,142.0,54.0,116.0
14000US41005022702,"Census Tract 227.02, Clackamas, OR",6676.0,142.0,443.0,576.0,342.0,179.0,161.0,210.0,345.0,471.0,495.0,820.0,543.0,655.0,625.0,308.0,122.0,176.0,63.0
14000US41005022707,"Census Tract 227.07, Clackamas, OR",6062.0,602.0,492.0,265.0,303.0,215.0,405.0,378.0,394.0,552.0,394.0,388.0,590.0,397.0,297.0,278.0,65.0,37.0,10.0
14000US41005022708,"Census Tract 227.08, Clackamas, OR",4310.0,414.0,360.0,281.0,254.0,295.0,276.0,201.0,84.0,249.0,516.0,315.0,256.0,308.0,189.0,110.0,112.0,73.0,17.0
14000US41005022710,"Census Tract 227.10, Clackamas, OR",2752.0,179.0,192.0,155.0,207.0,210.0,282.0,282.0,145.0,239.0,197.0,234.0,73.0,48.0,72.0,133.0,33.0,16.0,55.0
14000US41005022800,"Census Tract 228, Clackamas, OR",3761.0,27.0,33.0,85.0,258.0,258.0,45.0,17.0,29.0,102.0,188.0,334.0,287.0,318.0,341.0,410.0,487.0,293.0,249.0
14000US41005022901,"Census Tract 229.01, Clackamas, OR",3759.0,90.0,132.0,505.0,332.0,106.0,174.0,120.0,241.0,239.0,356.0,314.0,308.0,298.0,136.0,204.0,92.0,51.0,61.0
14000US41005022904,"Census Tract 229.04, Clackamas, OR",3695.0,193.0,309.0,484.0,273.0,161.0,250.0,353.0,231.0,316.0,95.0,149.0,211.0,183.0,185.0,110.0,61.0,79.0,52.0
14000US41005022905,"Census Tract 229.05, Clackamas, OR",4467.0,271.0,341.0,219.0,200.0,229.0,334.0,403.0,211.0,196.0,312.0,247.0,312.0,410.0,332.0,203.0,111.0,89.0,47.0
14000US41005022906,"Census Tract 229.06, Clackamas, OR",3064.0,184.0,133.0,192.0,252.0,134.0,142.0,153.0,316.0,128.0,151.0,196.0,220.0,141.0,125.0,175.0,129.0,79.0,214.0
14000US41005022907,"Census Tract 229.07, Clackamas, OR",4308.0,151.0,504.0,383.0,396.0,289.0,165.0,226.0,237.0,241.0,319.0,280.0,195.0,303.0,187.0,129.0,189.0,49.0,65.0
14000US41005023001,"Census Tract 230.01, Clackamas, OR",3390.0,241.0,159.0,136.0,286.0,156.0,115.0,210.0,193.0,215.0,267.0,294.0,343.0,201.0,200.0,156.0,98.0,50.0,70.0
14000US41005023002,"Census Tract 230.02, Clackamas, OR",4014.0,276.0,204.0,282.0,268.0,266.0,88.0,209.0,218.0,269.0,129.0,288.0,278.0,324.0,439.0,191.0,92.0,81.0,112.0
14000US41005023100,"Census Tract 231, Clackamas, OR",5976.0,166.0,211.0,344.0,290.0,320.0,128.0,337.0,362.0,291.0,425.0,544.0,631.0,564.0,647.0,402.0,222.0,44.0,48.0
14000US41005023201,"Census Tract 232.01, Clackamas, OR",4323.0,143.0,213.0,214.0,221.0,230.0,232.0,292.0,235.0,162.0,213.0,293.0,532.0,462.0,264.0,265.0,133.0,105.0,114.0
14000US41005023202,"Census Tract 232.02, Clackamas, OR",8235.0,431.0,581.0,648.0,604.0,389.0,413.0,651.0,771.0,611.0,554.0,485.0,479.0,614.0,385.0,337.0,205.0,32.0,45.0
14000US41005023300,"Census Tract 233, Clackamas, OR",5266.0,251.0,238.0,331.0,240.0,333.0,285.0,212.0,246.0,277.0,391.0,411.0,453.0,450.0,386.0,233.0,216.0,226.0,87.0
14000US41005023401,"Census Tract 234.01, Clackamas, OR",5087.0,341.0,293.0,201.0,274.0,269.0,182.0,264.0,253.0,485.0,239.0,315.0,514.0,379.0,429.0,221.0,238.0,147.0,43.0
14000US41005023403,"Census Tract 234.03, Clackamas, OR",5643.0,443.0,405.0,575.0,309.0,441.0,416.0,467.0,592.0,325.0,303.0,219.0,235.0,320.0,259.0,124.0,99.0,50.0,61.0
14000US41005023404,"Census Tract 234.04, Clackamas, OR",5970.0,307.0,366.0,418.0,443.0,460.0,376.0,350.0,450.0,348.0,464.0,254.0,439.0,383.0,311.0,167.0,178.0,182.0,74.0
14000US41005023500,"Census Tract 235, Clackamas, OR",5791.0,81.0,157.0,491.0,309.0,432.0,242.0,214.0,332.0,551.0,387.0,636.0,569.0,303.0,499.0,300.0,113.0,89.0,86.0
14000US41005023600,"Census Tract 236, Clackamas, OR",3633.0,168.0,139.0,247.0,163.0,171.0,175.0,158.0,145.0,238.0,239.0,304.0,371.0,360.0,181.0,227.0,183.0,85.0,79.0
14000US41005023700,"Census Tract 237, Clackamas, OR",5250.0,208.0,273.0,434.0,350.0,285.0,212.0,423.0,329.0,191.0,316.0,379.0,490.0,478.0,280.0,267.0,156.0,124.0,55.0
14000US41005023800,"Census Tract 238, Clackamas, OR",6393.0,387.0,242.0,226.0,400.0,406.0,435.0,368.0,317.0,274.0,505.0,490.0,411.0,612.0,552.0,319.0,110.0,144.0,195.0
14000US41005023901,"Census Tract 239.01, Clackamas, OR",5422.0,498.0,304.0,529.0,472.0,183.0,368.0,337.0,342.0,489.0,348.0,290.0,391.0,231.0,297.0,129.0,127.0,51.0,36.0
14000US41005023902,"Census Tract 239.02, Clackamas, OR",5525.0,551.0,422.0,430.0,384.0,310.0,448.0,299.0,336.0,429.0,370.0,293.0,384.0,309.0,271.0,102.0,96.0,48.0,43.0
14000US41005024000,"Census Tract 240, Clackamas, OR",2554.0,81.0,181.0,184.0,111.0,98.0,65.0,101.0,120.0,188.0,166.0,252.0,238.0,180.0,243.0,164.0,49.0,107.0,26.0
14000US41005024100,"Census Tract 241, Clackamas, OR",5116.0,228.0,313.0,327.0,390.0,282.0,265.0,119.0,295.0,270.0,414.0,346.0,411.0,381.0,418.0,371.0,147.0,120.0,19.0
14000US41005024200,"Census Tract 242, Clackamas, OR",6409.0,496.0,418.0,252.0,270.0,312.0,430.0,695.0,291.0,296.0,467.0,522.0,494.0,436.0,346.0,217.0,125.0,63.0,279.0
14000US41005024302,"Census Tract 243.02, Clackamas, OR",5103.0,288.0,280.0,194.0,309.0,85.0,239.0,352.0,61.0,461.0,235.0,273.0,616.0,689.0,571.0,300.0,131.0,0.0,19.0
14000US41005024303,"Census Tract 243.03, Clackamas, OR",2880.0,108.0,146.0,180.0,241.0,57.0,37.0,102.0,242.0,177.0,135.0,141.0,189.0,263.0,233.0,234.0,214.0,83.0,98.0
