age_bracket,percent
0_4,0.0591179112821219
5_9,0.0599880136920623
10_14,0.0652678227295620
15_19,0.0650547009233864
20_24,0.0654055300951677
25_29,0.0707815402229914
30_34,0.0680758240073362
35_39,0.0661963519853153
40_44,0.0614995592715384
45_49,0.0621443323264883
50_54,0.0623474004987510
55_59,0.0654523861223135
60_64,0.0639290869308264
65_69,0.0530923663327405
70_74,0.0431043399974719
75_79,0.0297336649492998
80_84,0.0194384696324336
85_89,0.0129137993334621
90_94,0.0053807497222759
95_100,0.0010761499444552
