age_bracket,fraction_male,fraction_female
0_4,0.5114427820179,0.48855721798209994
5_9,0.5097318980707769,0.4902681019292231
10_14,0.5142328383191412,0.48576716168085876
15_19,0.5116563186493311,0.48834368135066886
20_24,0.5120968072418581,0.48790319275814187
25_29,0.508967397293615,0.4910326027063851
30_34,0.5045162607362559,0.49548373926374406
35_39,0.5002379550385971,0.49976204496140286
40_44,0.4968227018503548,0.5031772981496452
45_49,0.4945534363810347,0.5054465636189653
50_54,0.49188349986421875,0.5081165001357812
55_59,0.48627848332133383,0.5137215166786662
60_64,0.4781733820372349,0.5218266179627651
65_69,0.4709034535456467,0.5290965464543532
70_74,0.4620867088407813,0.5379132911592187
75_79,0.44738600323804034,0.5526139967619597
80_84,0.42006431376845976,0.5799356862315402
85_100,0.3531324042077157,0.6468675957922844
