Age,Percent
0,0.000
1,0.000
2,0.000
3,0.496
4,0.496
5,0.873
6,0.873
7,0.873
8,0.873
9,0.873
10,1.000
11,1.000
12,1.000
13,1.000
14,1.000
15,0.794
16,0.794
17,0.794
18,0.540
19,0.540
20,0.078
21,0.078
22,0.078
23,0.078
24,0.078
25,0.094
26,0.094
27,0.094
28,0.094
29,0.094
30,0.094
31,0.094
32,0.094
33,0.094
34,0.094
35,0.023
36,0.023
37,0.023
38,0.023
39,0.023
40,0.023
41,0.023
42,0.023
43,0.023
44,0.023
45,0.023
46,0.023
47,0.023
48,0.023
49,0.023
50,0.023
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.000
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,0.000
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,0.000
74,0.000
75,0.000
76,0.000
77,0.000
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,0.000
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
