"GEO_ID","id",
"S1401_C03_001M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school",
"S1401_C03_002E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Nursery school, preschool",
"S1401_C03_002M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Nursery school, preschool",
"S1401_C03_003E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",
"S1401_C03_003M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade",
"S1401_C03_004E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Kindergarten",
"S1401_C03_004M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Kindergarten",
"S1401_C03_005E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Elementary grade 1 to grade 4",
"S1401_C03_005M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Elementary grade 1 to grade 4",
"S1401_C03_006E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Elementary grade 5 to grade 8",
"S1401_C03_006M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Elementary grade 5 to grade 8",
"S1401_C03_007E","Estimate!!In public school!!Population 3 years and over enrolled in school!!High school grade 9 to grade 12",
"S1401_C03_007M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!High school grade 9 to grade 12",
"S1401_C03_008E","Estimate!!In public school!!Population 3 years and over enrolled in school!!College, undergraduate",
"S1401_C03_008M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!College, undergraduate",
"S1401_C03_009E","Estimate!!In public school!!Population 3 years and over enrolled in school!!Graduate, professional school",
"S1401_C03_009M","Margin of Error!!In public school MOE!!Population 3 years and over enrolled in school!!Graduate, professional school",
"S1401_C03_010E","Estimate!!In public school!!Population enrolled in college or graduate school",
"S1401_C03_010M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school",
"S1401_C03_011E","Estimate!!In public school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",
"S1401_C03_011M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",
"S1401_C03_012E","Estimate!!In public school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",
"S1401_C03_012M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",
"S1401_C03_013E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 3 to 4 years",
"S1401_C03_013M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 3 to 4 years",
"S1401_C03_014E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",
"S1401_C03_014M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",
"S1401_C03_015E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 5 to 9 years",
"S1401_C03_015M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 5 to 9 years",
"S1401_C03_016E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",
"S1401_C03_016M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",
"S1401_C03_017E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 10 to 14 years",
"S1401_C03_017M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 10 to 14 years",
"S1401_C03_018E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",
"S1401_C03_018M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",
"S1401_C03_019E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 15 to 17",
"S1401_C03_019M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 15 to 17",
"S1401_C03_020E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 15 to 17!!15 to 17 year olds enrolled in school",
"S1401_C03_020M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 15 to 17!!15 to 17 year olds enrolled in school",
"S1401_C03_021E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 18 to 19 years",
"S1401_C03_021M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 18 to 19 years",
"S1401_C03_022E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",
"S1401_C03_022M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",
"S1401_C03_023E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 20 to 24 years",
"S1401_C03_023M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 20 to 24 years",
"S1401_C03_024E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",
"S1401_C03_024M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",
"S1401_C03_025E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 25 to 34 years",
"S1401_C03_025M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 25 to 34 years",
"S1401_C03_026E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",
"S1401_C03_026M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school",
"S1401_C03_027E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 35 years and over",
"S1401_C03_027M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 35 years and over",
"S1401_C03_028E","Estimate!!In public school!!Population enrolled in college or graduate school!!Population 35 years and over!!35 years and over enrolled in school",
"S1401_C03_028M","Margin of Error!!In public school MOE!!Population enrolled in college or graduate school!!Population 35 years and over!!35 years and over enrolled in school",
"S1401_C03_029E","Estimate!!In public school!!Population 18 to 24 years",
"S1401_C03_029M","Margin of Error!!In public school MOE!!Population 18 to 24 years",
"S1401_C03_030E","Estimate!!In public school!!Population 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C03_030M","Margin of Error!!In public school MOE!!Population 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C03_031E","Estimate!!In public school!!Males 18 to 24 years",
"S1401_C03_031M","Margin of Error!!In public school MOE!!Males 18 to 24 years",
"S1401_C03_032E","Estimate!!In public school!!Males 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C03_032M","Margin of Error!!In public school MOE!!Males 18 to 24 years!!Enrolled in college or graduate school",
"S1401_C03_033E","Estimate!!In public school!!Females 18 to 24 years",
"S1401_C03_033M","Margin of Error!!In public school MOE!!Females 18 to 24 years",
