,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41051000100,"Census Tract 1, Multnomah, OR",2866.0,1650.0,761.0,422.0,435.0,32.0,0.0,0.0,1216.0,843.0,373.0,0.0,0.0,0.0,0.0,0.0,0,843.0,1134.0,422.0,435.0,32.0,0.0,0.0
14000US41051000200,"Census Tract 2, Multnomah, OR",3101.0,1267.0,484.0,441.0,251.0,60.0,31.0,0.0,1834.0,1455.0,337.0,18.0,24.0,0.0,0.0,0.0,0,1455.0,821.0,459.0,275.0,60.0,31.0,0.0
14000US41051000301,"Census Tract 3.01, Multnomah, OR",2132.0,831.0,420.0,123.0,225.0,38.0,14.0,11.0,1301.0,903.0,314.0,44.0,16.0,17.0,0.0,7.0,0,903.0,734.0,167.0,241.0,55.0,14.0,18.0
14000US41051000302,"Census Tract 3.02, Multnomah, OR",2666.0,2090.0,966.0,424.0,525.0,140.0,14.0,21.0,576.0,461.0,76.0,0.0,39.0,0.0,0.0,0.0,0,461.0,1042.0,424.0,564.0,140.0,14.0,21.0
14000US41051000401,"Census Tract 4.01, Multnomah, OR",1496.0,977.0,434.0,299.0,176.0,55.0,0.0,13.0,519.0,250.0,233.0,20.0,0.0,16.0,0.0,0.0,0,250.0,667.0,319.0,176.0,71.0,0.0,13.0
14000US41051000402,"Census Tract 4.02, Multnomah, OR",1425.0,782.0,327.0,184.0,222.0,38.0,0.0,11.0,643.0,418.0,146.0,58.0,21.0,0.0,0.0,0.0,0,418.0,473.0,242.0,243.0,38.0,0.0,11.0
14000US41051000501,"Census Tract 5.01, Multnomah, OR",1711.0,1039.0,444.0,296.0,177.0,104.0,18.0,0.0,672.0,486.0,132.0,32.0,7.0,15.0,0.0,0.0,0,486.0,576.0,328.0,184.0,119.0,18.0,0.0
14000US41051000502,"Census Tract 5.02, Multnomah, OR",1958.0,1159.0,416.0,385.0,197.0,62.0,71.0,28.0,799.0,511.0,218.0,48.0,14.0,8.0,0.0,0.0,0,511.0,634.0,433.0,211.0,70.0,71.0,28.0
14000US41051000601,"Census Tract 6.01, Multnomah, OR",1952.0,1225.0,377.0,312.0,320.0,127.0,62.0,27.0,727.0,497.0,186.0,37.0,7.0,0.0,0.0,0.0,0,497.0,563.0,349.0,327.0,127.0,62.0,27.0
14000US41051000602,"Census Tract 6.02, Multnomah, OR",2073.0,1372.0,413.0,331.0,248.0,258.0,42.0,80.0,701.0,504.0,124.0,31.0,13.0,17.0,0.0,12.0,0,504.0,537.0,362.0,261.0,275.0,42.0,92.0
14000US41051000701,"Census Tract 7.01, Multnomah, OR",2003.0,1093.0,463.0,328.0,178.0,124.0,0.0,0.0,910.0,686.0,157.0,44.0,12.0,0.0,11.0,0.0,0,686.0,620.0,372.0,190.0,124.0,11.0,0.0
14000US41051000702,"Census Tract 7.02, Multnomah, OR",2009.0,1042.0,398.0,262.0,221.0,81.0,63.0,17.0,967.0,660.0,190.0,70.0,27.0,20.0,0.0,0.0,0,660.0,588.0,332.0,248.0,101.0,63.0,17.0
14000US41051000801,"Census Tract 8.01, Multnomah, OR",2102.0,1084.0,564.0,236.0,192.0,84.0,8.0,0.0,1018.0,593.0,344.0,31.0,20.0,30.0,0.0,0.0,0,593.0,908.0,267.0,212.0,114.0,8.0,0.0
14000US41051000802,"Census Tract 8.02, Multnomah, OR",2140.0,979.0,463.0,278.0,151.0,41.0,46.0,0.0,1161.0,606.0,453.0,54.0,19.0,29.0,0.0,0.0,0,606.0,916.0,332.0,170.0,70.0,46.0,0.0
14000US41051000901,"Census Tract 9.01, Multnomah, OR",2042.0,978.0,472.0,223.0,218.0,61.0,4.0,0.0,1064.0,648.0,259.0,128.0,19.0,10.0,0.0,0.0,0,648.0,731.0,351.0,237.0,71.0,4.0,0.0
14000US41051000902,"Census Tract 9.02, Multnomah, OR",2108.0,991.0,458.0,340.0,150.0,11.0,0.0,32.0,1117.0,570.0,462.0,64.0,21.0,0.0,0.0,0.0,0,570.0,920.0,404.0,171.0,11.0,0.0,32.0
14000US41051001000,"Census Tract 10, Multnomah, OR",2560.0,1150.0,404.0,352.0,245.0,149.0,0.0,0.0,1410.0,799.0,464.0,118.0,29.0,0.0,0.0,0.0,0,799.0,868.0,470.0,274.0,149.0,0.0,0.0
14000US41051001101,"Census Tract 11.01, Multnomah, OR",1539.0,178.0,115.0,57.0,6.0,0.0,0.0,0.0,1361.0,1044.0,254.0,49.0,0.0,14.0,0.0,0.0,0,1044.0,369.0,106.0,6.0,14.0,0.0,0.0
14000US41051001102,"Census Tract 11.02, Multnomah, OR",705.0,291.0,140.0,65.0,63.0,23.0,0.0,0.0,414.0,254.0,120.0,4.0,15.0,17.0,4.0,0.0,0,254.0,260.0,69.0,78.0,40.0,4.0,0.0
14000US41051001201,"Census Tract 12.01, Multnomah, OR",2703.0,773.0,502.0,234.0,0.0,37.0,0.0,0.0,1930.0,1128.0,601.0,135.0,66.0,0.0,0.0,0.0,0,1128.0,1103.0,369.0,66.0,37.0,0.0,0.0
14000US41051001202,"Census Tract 12.02, Multnomah, OR",1552.0,812.0,465.0,124.0,185.0,17.0,21.0,0.0,740.0,412.0,274.0,16.0,38.0,0.0,0.0,0.0,0,412.0,739.0,140.0,223.0,17.0,21.0,0.0
