Age,Percent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.273
16,0.273
17,0.273
18,0.273
19,0.273
20,0.359
21,0.359
22,0.359
23,0.359
24,0.359
25,0.470
26,0.470
27,0.470
28,0.470
29,0.470
30,0.615
31,0.615
32,0.615
33,0.615
34,0.615
35,0.645
36,0.645
37,0.645
38,0.645
39,0.645
40,0.595
41,0.595
42,0.595
43,0.595
44,0.595
45,0.589
46,0.589
47,0.589
48,0.589
49,0.589
50,0.589
51,0.589
52,0.589
53,0.589
54,0.589
55,0.568
56,0.568
57,0.568
58,0.568
59,0.568
60,0.438
61,0.438
62,0.438
63,0.438
64,0.438
65,0.331
66,0.331
67,0.331
68,0.331
69,0.331
70,0.252
71,0.252
72,0.252
73,0.252
74,0.252
75,0.172
76,0.172
77,0.172
78,0.172
79,0.172
80,0.071
81,0.071
82,0.071
83,0.071
84,0.071
85,0.058
86,0.058
87,0.058
88,0.058
89,0.058
90,0.058
91,0.058
92,0.058
93,0.058
94,0.058
95,0.058
96,0.058
97,0.058
98,0.058
99,0.058
100,0.058
