Age,Percent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.1
11,0.1
12,0.1
13,0.1
14,0.1
15,0.444
16,0.444
17,0.444
18,0.444
19,0.444
20,0.515
21,0.515
22,0.515
23,0.515
24,0.515
25,0.470
26,0.470
27,0.470
28,0.470
29,0.470
30,0.613
31,0.613
32,0.613
33,0.613
34,0.613
35,0.610
36,0.610
37,0.610
38,0.610
39,0.610
40,0.452
41,0.452
42,0.452
43,0.452
44,0.452
45,0.272
46,0.272
47,0.272
48,0.272
49,0.272
50,0.219
51,0.219
52,0.219
53,0.219
54,0.219
55,0.121
56,0.121
57,0.121
58,0.121
59,0.121
60,0.054
61,0.054
62,0.054
63,0.054
64,0.054
65,0.028
66,0.028
67,0.028
68,0.028
69,0.028
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
