size_bracket,percent
0,0.00058154783376878
1,0.01835940275780584
2,0.0635747895238933
3,0.10169149618283788
4,0.11744784766543027
5,0.11563180990469368
6,0.10441112788950051
7,0.08969433263925755
8,0.07479348587777512
9,0.061257905886747385
10,0.04963768861256395
11,0.039978312464327155
12,0.03210122607155023
13,0.025750590629679212
14,0.020664315149679823
15,0.016604773260983394
16,0.013369132350536637
17,0.010790015246155185
18,0.00873205180296527
19,0.007087085638848889
20,0.0057693317290452755
21,0.004711028314792435
22,0.003858755472712543
23,0.0031704202131128357
24,0.002612836544499376
25,0.002159807104246856
26,0.001790614015815225
27,0.0014888370537154427
28,0.0012414303582475483
29,0.0010380018048123736
