family_size,household_head_age_15_19,household_head_age_20_24,household_head_age_25_29,household_head_age_30_34,household_head_age_35_39,household_head_age_40_44,household_head_age_45_49,household_head_age_50_54,household_head_age_55_59,household_head_age_60_64,household_head_age_65_69,household_head_age_70_74,household_head_age_75_79,household_head_age_80_100
1,19,142,297,614,823,941,933,955,954,944,723,481,279,270
2,19,142,297,614,823,941,933,955,954,944,723,481,279,270
3,19,142,297,614,823,941,933,955,954,944,723,481,279,270
4,19,142,297,614,823,941,933,955,954,944,723,481,279,270
5,19,142,297,614,823,941,933,955,954,944,723,481,279,270
6,19,142,297,614,823,941,933,955,954,944,723,481,279,270
7,19,142,297,614,823,941,933,955,954,944,723,481,279,270
8,19,142,297,614,823,941,933,955,954,944,723,481,279,270
9,19,142,297,614,823,941,933,955,954,944,723,481,279,270
10,19,142,297,614,823,941,933,955,954,944,723,481,279,270
11,19,142,297,614,823,941,933,955,954,944,723,481,279,270
12,19,142,297,614,823,941,933,955,954,944,723,481,279,270
13,19,142,297,614,823,941,933,955,954,944,723,481,279,270
14,19,142,297,614,823,941,933,955,954,944,723,481,279,270
15,19,142,297,614,823,941,933,955,954,944,723,481,279,270
16,19,142,297,614,823,941,933,955,954,944,723,481,279,270
17,19,142,297,614,823,941,933,955,954,944,723,481,279,270
18,19,142,297,614,823,941,933,955,954,944,723,481,279,270
