age_bracket,fraction_male,fraction_female
0_4,0.5526315789473685,0.4473684210526316
5_9,0.6633165829145728,0.33668341708542715
10_14,0.7580645161290323,0.24193548387096775
15_19,0.6885245901639344,0.3114754098360656
20_24,0.4868624420401855,0.5131375579598145
25_29,0.47879359095193214,0.5212064090480678
30_34,0.46021220159151194,0.5397877984084881
35_39,0.5316698656429942,0.46833013435700577
40_44,0.5379609544468547,0.46203904555314534
45_49,0.6981132075471698,0.3018867924528302
50_54,0.5868131868131868,0.41318681318681316
55_59,0.41358024691358025,0.5864197530864198
60_64,0.38782608695652177,0.6121739130434782
65_69,0.5361990950226244,0.4638009049773756
70_74,0.4666666666666667,0.5333333333333333
75_79,0.42162162162162165,0.5783783783783784
80_84,0.6598639455782312,0.3401360544217687
85_100,0.296969696969697,0.703030303030303
