,name,Total,Total_0_4,Total_5_9,Total_10_14,Total_15_19,Total_20_24,Total_25_29,Total_30_34,Total_35_39,Total_40_44,Total_45_49,Total_50_54,Total_55_59,Total_60_64,Total_65_69,Total_70_74,Total_75_79,Total_80_84,Total_85up
79500US0900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",169172.0,9169.0,10067.0,11751.0,10966.0,10835.0,8767.0,9101.0,10112.0,10935.0,12635.0,10945.0,14518.0,12072.0,7030.0,7177.0,5076.0,3521.0,4495.0
79500US0900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",119239.0,6082.0,7014.0,10215.0,11978.0,8063.0,3055.0,3261.0,6441.0,6060.0,9825.0,10206.0,9579.0,8437.0,5625.0,4718.0,3343.0,2290.0,3047.0
79500US0900102,"Stamford & Greenwich Towns PUMA, CT",192496.0,10764.0,10798.0,12938.0,10279.0,12377.0,13157.0,13995.0,12952.0,12898.0,12298.0,13245.0,13393.0,11771.0,9113.0,8206.0,5210.0,4255.0,4847.0
79500US0900103,"Norwalk, Westport & Darien Towns PUMA, CT",139210.0,7761.0,8826.0,9073.0,8113.0,5388.0,7235.0,9058.0,9038.0,9663.0,9716.0,11103.0,10580.0,11040.0,7046.0,6586.0,3445.0,2913.0,2626.0
79500US0900500,"Litchfield County PUMA, CT",181111.0,7473.0,9487.0,9254.0,10331.0,10084.0,9388.0,8833.0,10890.0,8733.0,12222.0,14467.0,15595.0,16457.0,12777.0,9548.0,7068.0,4144.0,4360.0
79500US0900700,"Middlesex County PUMA, CT",162682.0,6269.0,9482.0,7282.0,9832.0,10690.0,9019.0,9526.0,10008.0,8139.0,10993.0,12625.0,12571.0,13804.0,10424.0,8088.0,5483.0,4108.0,4339.0
79500US0900906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA, CT",110297.0,3605.0,5080.0,7237.0,7165.0,4613.0,5319.0,5756.0,5152.0,5554.0,7448.0,8685.0,8873.0,8434.0,9411.0,5862.0,4840.0,2629.0,4634.0
79500US0901101,"New London County (South) PUMA, CT",138210.0,7517.0,7175.0,8640.0,11061.0,11503.0,8943.0,7813.0,6976.0,9046.0,7421.0,9661.0,10587.0,8895.0,6359.0,6116.0,4712.0,2643.0,3142.0
79500US2500100,"Berkshire County--Pittsfield City PUMA, MA",126348.0,5001.0,5881.0,6026.0,7914.0,8430.0,6956.0,6738.0,7324.0,5489.0,7488.0,9249.0,9994.0,10619.0,9169.0,7449.0,5491.0,3301.0,3829.0
79500US3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",146164.0,7661.0,6930.0,6282.0,6543.0,8978.0,11218.0,10769.0,10469.0,11072.0,9946.0,9845.0,10976.0,8212.0,7206.0,6379.0,6066.0,3691.0,3921.0
