age_bracket,fraction_male,fraction_female
0_4,0.513750949651219,0.486249050348781
5_9,0.5084760870622174,0.4915239129377826
10_14,0.5161482723323312,0.4838517276676688
15_19,0.5118537947372874,0.4881462052627126
20_24,0.4949859663474422,0.5050140336525578
25_29,0.49693960826985856,0.5030603917301415
30_34,0.5018128600273992,0.4981871399726008
35_39,0.49497897124566037,0.5050210287543396
40_44,0.49769343065693433,0.5023065693430657
45_49,0.49216902697617654,0.5078309730238234
50_54,0.485970624052489,0.514029375947511
55_59,0.48112466721572084,0.5188753327842792
60_64,0.46642659682816817,0.5335734031718318
65_69,0.4470736220364783,0.5529263779635217
70_74,0.4469857845953981,0.5530142154046019
75_79,0.4234672895658897,0.5765327104341104
80_84,0.39329608938547483,0.6067039106145251
85_100,0.3188664036315812,0.6811335963684189
