age_bracket,fraction_male,fraction_female
0_4,0.5131385391988356,0.48686146080116444
5_9,0.5077857816283899,0.4922142183716101
10_14,0.5136819869497884,0.48631801305021155
15_19,0.5057145281978019,0.4942854718021981
20_24,0.48361567444487796,0.516384325555122
25_29,0.48285040718363637,0.5171495928163636
30_34,0.48501334923258355,0.5149866507674165
35_39,0.4808948867334135,0.5191051132665865
40_44,0.47676925741657655,0.5232307425834234
45_49,0.4668953556581397,0.5331046443418603
50_54,0.46177283172816236,0.5382271682718376
55_59,0.4595822955618064,0.5404177044381936
60_64,0.4437232863701124,0.5562767136298876
65_69,0.4382644298329314,0.5617355701670685
70_74,0.4254592330003223,0.5745407669996777
75_79,0.41555414988181244,0.5844458501181876
80_84,0.3719848814568778,0.6280151185431222
85_100,0.31568076317022276,0.6843192368297772
